miRNA,transcript,start,type,log_kd,note,p3.score
hsa-miR-1179,hsa_circ_0057182|chr2:178362416-178408564+|NM_003659|AGPS,4020,7mer-m8,-2953,TDMD?,6
hsa-miR-1179,hsa_circ_0057184|chr2:178370233-178408564+|NM_003659|AGPS,3830,7mer-m8,-2953,TDMD?,6
hsa-miR-1179,hsa_circ_0057185|chr2:178372697-178408564+|NM_003659|AGPS,3760,7mer-m8,-2953,TDMD?,6
hsa-miR-1179,hsa_circ_0057187|chr2:178378546-178408564+|NM_003659|AGPS,3698,7mer-m8,-2953,TDMD?,6
hsa-miR-1179,hsa_circ_0061589|chr21:36437232-37342465-|NR_030414|MIR802,873567,7mer-m8,-3426,TDMD?,6
hsa-miR-1179,hsa_circ_0062183|chr22:18378049-18484267-|NM_015241|MICAL3,75877,7mer-m8,-4771,TDMD?,6
hsa-miR-1179,hsa_circ_0064024|chr3:4110252-4418073-|NM_182760|SUMF1,1618,8mer,-4654,TDMD?,7
hsa-miR-1179,hsa_circ_0064025|chr3:4110252-4458926-|NM_182760|SUMF1,1847,8mer,-4654,TDMD?,7
hsa-miR-1179,hsa_circ_0064026|chr3:4110252-4508966-|NM_182760|SUMF1,2609,8mer,-4654,TDMD?,7
hsa-miR-1179,hsa_circ_0067938|chr3:170077486-170079217+|NM_005414|SKIL,591,7mer-a1,-2918,TDMD?,6
hsa-miR-1179,hsa_circ_0069749|chr4:54292038-55151653+|NM_001134937|FIP1L1,485890,7mer-a1,-2332,TDMD?,6
hsa-miR-1179,hsa_circ_0070843|chr4:123107190-123185582+|NM_015312|KIAA1109,6280,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0070844|chr4:123107190-123260563+|NM_015312|KIAA1109,6280,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0070846|chr4:123108585-123195591+|NM_015312|KIAA1109,6093,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0070848|chr4:123111154-123184755+|NM_015312|KIAA1109,5817,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0070849|chr4:123117789-123193560+|NM_015312|KIAA1109,5586,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0070851|chr4:123128264-123193560+|NM_015312|KIAA1109,5140,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0070852|chr4:123128695-123239425+|NM_015312|KIAA1109,4984,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0070853|chr4:123130972-123249512+|NM_015312|KIAA1109,4707,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0070854|chr4:123132041-123264765+|NM_015312|KIAA1109,4600,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0070856|chr4:123140494-123254964+|NM_015312|KIAA1109,4391,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0070859|chr4:123150275-123202929+|NM_015312|KIAA1109,3716,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0070860|chr4:123155927-123193560+|NM_015312|KIAA1109,3315,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0070861|chr4:123168312-123195591+|NM_015312|KIAA1109,1326,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0073687|chr5:121736680-121739560+|NM_005460|SNCAIP,2753,7mer-m8,-3058,TDMD,6
hsa-miR-1179,hsa_circ_0074029|chr5:134388143-134673703+|TCONS_00010097|TCONS_00010097,239294,7mer-m8,-4647,TDMD?,6
hsa-miR-1179,hsa_circ_0084490|chr8:52336134-52469471-|NM_144651|PXDNL,96,7mer-a1,-2884,TDMD?,7
hsa-miR-1179,hsa_circ_0085182|chr8:103271212-103301804-|NM_015902|UBR5,313,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085183|chr8:103271212-103372418-|NM_015902|UBR5,4636,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085190|chr8:103274142-103317523-|NM_015902|UBR5,2286,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085191|chr8:103276701-103300494-|NM_015902|UBR5,189,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085192|chr8:103279174-103300494-|NM_015902|UBR5,189,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085193|chr8:103279174-103373434-|NM_015902|UBR5,4795,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085195|chr8:103281205-103340124-|NM_015902|UBR5,3576,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085196|chr8:103281205-103359320-|NM_015902|UBR5,4516,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085197|chr8:103283361-103300494-|NM_015902|UBR5,189,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085198|chr8:103284756-103341627-|NM_015902|UBR5,3804,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085200|chr8:103287748-103359320-|NM_015902|UBR5,4516,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085201|chr8:103291053-103359320-|NM_015902|UBR5,4516,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085202|chr8:103291263-103300494-|NM_015902|UBR5,189,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085203|chr8:103291263-103301804-|NM_015902|UBR5,313,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085205|chr8:103292621-103299792-|NM_015902|UBR5,77,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085206|chr8:103292621-103307558-|NM_015902|UBR5,971,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085207|chr8:103292621-103309212-|NM_015902|UBR5,1329,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085208|chr8:103292621-103311775-|NM_015902|UBR5,1796,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085209|chr8:103292621-103341428-|NM_015902|UBR5,3687,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085210|chr8:103297354-103357773-|NM_015902|UBR5,4166,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085211|chr8:103297354-103359320-|NM_015902|UBR5,4516,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085213|chr8:103297740-103359320-|NM_015902|UBR5,4516,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085214|chr8:103297740-103424917-|NM_015902|UBR5,5357,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085215|chr8:103298587-103300494-|NM_015902|UBR5,189,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085216|chr8:103298587-103306072-|NM_015902|UBR5,553,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085217|chr8:103298587-103307760-|NM_015902|UBR5,1090,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085218|chr8:103298587-103311199-|NM_015902|UBR5,1700,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085219|chr8:103298587-103316397-|NM_015902|UBR5,2075,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085220|chr8:103298587-103323724-|NM_015902|UBR5,2484,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085221|chr8:103298587-103324473-|NM_015902|UBR5,2751,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085222|chr8:103298587-103335723-|NM_015902|UBR5,3303,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085223|chr8:103298587-103354912-|NM_015902|UBR5,4016,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085224|chr8:103298587-103359320-|NM_015902|UBR5,4516,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085225|chr8:103298587-103372418-|NM_015902|UBR5,4636,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085226|chr8:103298587-103373434-|NM_015902|UBR5,4795,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0085227|chr8:103299660-103357773-|NM_015902|UBR5,4166,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0086594|chr9:26903367-26928406-|NM_001031689|PLAA,2013,7mer-m8,-3833,TDMD?,6
hsa-miR-1179,hsa_circ_0087260|chr9:80030871-80032399+|NM_033305|VPS13A,1440,7mer-a1,-3138,TDMD?,6
hsa-miR-1179,hsa_circ_0088311|chr9:123627987-123637034-|NM_015651|PHF19,598,7mer-a1,-2090,TDMD?,7
hsa-miR-1179,hsa_circ_0088312|chr9:123629147-123637034-|NM_015651|PHF19,598,7mer-a1,-2090,TDMD?,7
hsa-miR-1179,hsa_circ_0092816|chr10:118708426-118722125-|NM_001127211|KIAA1598,2351,7mer-m8,-3773,TDMD,6
hsa-miR-1179,hsa_circ_0093273|chr10:19941005-19981483+|ENST00000455457.2|C10orf112,34667,7mer-a1,-2729,TDMD?,8
hsa-miR-1179,hsa_circ_0093671|chr10:45955187-45956859-|ENST00000395771.3|MARCH8,929,7mer-a1,-3199,TDMD?,6
hsa-miR-1179,hsa_circ_0094375|chr10:9238602-9338531-|ENST00000458168.1|LINC00709,52828,7mer-m8,-3532,TDMD?,6
hsa-miR-1179,hsa_circ_0095057|chr11:11454167-11492819-|NM_198516|GALNTL4,14661,7mer-m8,-3355,TDMD?,7
hsa-miR-1179,hsa_circ_0095350|chr11:131530822-131601743+|ENST00000427481.2|NTM,22265,8mer,-4673,TDMD?,6
hsa-miR-1179,hsa_circ_0095826|chr11:43413014-43418089+|NM_018259|TTC17,4815,7mer-m8,-4235,TDMD,7
hsa-miR-1179,hsa_circ_0097577|chr12:122517050-122613777-|ENST00000319080.6|MLXIP,93168,7mer-m8,-4474,TDMD?,6
hsa-miR-1179,hsa_circ_0098517|chr12:40626075-40643747+|NM_198578|LRRK2,122,7mer-a1,-3127,TDMD,6
hsa-miR-1179,hsa_circ_0098914|chr12:62654227-62688080-|NM_001252078|USP15,2789,7mer-a1,-2872,TDMD?,6
hsa-miR-1179,hsa_circ_0098990|chr12:65294356-65341242+|ENST00000535058.1|RP11-766N7.3,43737,7mer-m8,-3700,TDMD?,6
hsa-miR-1179,hsa_circ_0099363|chr12:83250788-83274030+|ENST00000549919.1|TMTC2,12957,7mer-m8,-4647,TDMD?,7
hsa-miR-1179,hsa_circ_0099973|chr13:20409616-20419074-|ENST00000337963.4|ZMYM5,3618,7mer-a1,-3127,TDMD,7
hsa-miR-1179,hsa_circ_0100040|chr13:21364600-21408125-|ENST00000400602.2|XPO4,7525,8mer,-3114,TDMD,6
hsa-miR-1179,hsa_circ_0100041|chr13:21370214-21396428-|NM_022459|XPO4,605,8mer,-3114,TDMD,6
hsa-miR-1179,hsa_circ_0100042|chr13:21374969-21384106-|NM_022459|XPO4,272,8mer,-3114,TDMD,6
hsa-miR-1179,hsa_circ_0100043|chr13:21381595-21384106-|NM_022459|XPO4,272,8mer,-3114,TDMD,6
hsa-miR-1179,hsa_circ_0100191|chr13:29413914-29465423+|None|None,51401,7mer-a1,-2893,TDMD,6
hsa-miR-1179,hsa_circ_0100724|chr13:52667189-52678688-|ENST00000355568.4|NEK5,412,8mer,-4103,TDMD?,6
hsa-miR-1179,hsa_circ_0101722|chr14:35465882-35488280+|ENST00000556994.1|SRP54,483,8mer,-4153,TDMD?,7
hsa-miR-1179,hsa_circ_0101723|chr14:35470141-35478037+|ENST00000556994.1|SRP54,280,8mer,-4153,TDMD?,7
hsa-miR-1179,hsa_circ_0101724|chr14:35470141-35480865+|ENST00000556994.1|SRP54,280,8mer,-4153,TDMD?,7
hsa-miR-1179,hsa_circ_0101725|chr14:35470141-35484036+|ENST00000556994.1|SRP54,280,8mer,-4153,TDMD?,7
hsa-miR-1179,hsa_circ_0101726|chr14:35470141-35488280+|ENST00000556994.1|SRP54,280,8mer,-4153,TDMD?,7
hsa-miR-1179,hsa_circ_0101727|chr14:35476488-35480865+|ENST00000556994.1|SRP54,195,8mer,-4153,TDMD?,7
hsa-miR-1179,hsa_circ_0102155|chr14:53622960-53668201+|ENST00000554235.1|RP11-547D23.1,24246,7mer-m8,-4771,TDMD?,6
hsa-miR-1179,hsa_circ_0102707|chr14:79786632-79789300+|NM_004796|NRXN3,1398,7mer-m8,-3326,TDMD,6
hsa-miR-1179,hsa_circ_0103046|chr14:99602798-99697894-|ENST00000357195.3|BCL11B,2313,7mer-m8,-3480,TDMD?,6
hsa-miR-1179,hsa_circ_0103142|chr15:24819656-24869252+|ENST00000568609.1|PWRN1,6334,7mer-m8,-2940,TDMD,6
hsa-miR-1179,hsa_circ_0103393|chr15:39234287-39266436-|ENST00000560197.1|RP11-624L4.1,20146,7mer-a1,-3283,TDMD,8
hsa-miR-1179,hsa_circ_0104414|chr15:72139755-72197347-|ENST00000563542.1|MYO9A,12385,7mer-m8,-4393,TDMD,6
hsa-miR-1179,hsa_circ_0104546|chr15:75185022-75185548-|ENST00000352410.4|MPI,179,7mer-a1,-1577,TDMD?,6
hsa-miR-1179,hsa_circ_0105171|chr16:21030945-21098381-|ENST00000261383.3|DNAH3,454,7mer-a1,-2970,TDMD?,6
hsa-miR-1179,hsa_circ_0105172|chr16:21030945-21108820-|ENST00000261383.3|DNAH3,599,7mer-a1,-2970,TDMD?,6
hsa-miR-1179,hsa_circ_0105173|chr16:21030945-21110090-|ENST00000261383.3|DNAH3,753,7mer-a1,-2970,TDMD?,6
hsa-miR-1179,hsa_circ_0105174|chr16:21080735-21098381-|ENST00000261383.3|DNAH3,454,7mer-a1,-2970,TDMD?,6
hsa-miR-1179,hsa_circ_0105269|chr16:24770742-24787889-|ENST00000395799.3|TNRC6A,8920,7mer-a1,-3024,TDMD,6
hsa-miR-1179,hsa_circ_0107387|chr17:61228630-61271500+|NM_025185|TANC2,42298,7mer-a1,-2956,TDMD,6
hsa-miR-1179,hsa_circ_0107388|chr17:61228630-61278318+|NM_025185|TANC2,42298,7mer-a1,-2956,TDMD,6
hsa-miR-1179,hsa_circ_0107389|chr17:61228630-61315438+|NM_025185|TANC2,42298,7mer-a1,-2956,TDMD,6
hsa-miR-1179,hsa_circ_0108737|chr18:57270985-57273925-|NM_133459|CCBE1,1161,7mer-m8,-2167,TDMD,7
hsa-miR-1179,hsa_circ_0108881|chr18:74521147-74528798-|TCONS_00026577|TCONS_00026577,3575,7mer-a1,-2895,TDMD?,7
hsa-miR-1179,hsa_circ_0110890|chr1:155646338-155746272-|NM_001198903|YY1AP1,48208,7mer-m8,-4003,TDMD?,6
hsa-miR-1179,hsa_circ_0112687|chr1:239569678-239656107+|ENST00000468573.1|CHRM3,39404,8mer,-4879,TDMD,6
hsa-miR-1179,hsa_circ_0112688|chr1:239575659-239656107+|ENST00000468573.1|CHRM3,33423,8mer,-4879,TDMD,6
hsa-miR-1179,hsa_circ_0112689|chr1:239580049-239656107+|ENST00000468573.1|CHRM3,29033,8mer,-4879,TDMD,6
hsa-miR-1179,hsa_circ_0112690|chr1:239601992-239656107+|ENST00000468573.1|CHRM3,7090,8mer,-4879,TDMD,6
hsa-miR-1179,hsa_circ_0113274|chr1:39775241-39838268+|ENST00000564288.1|MACF1,6112,7mer-m8,-3402,TDMD?,6
hsa-miR-1179,hsa_circ_0113275|chr1:39781184-39818903+|ENST00000564288.1|MACF1,5631,7mer-m8,-3402,TDMD?,6
hsa-miR-1179,hsa_circ_0113276|chr1:39785335-39803003+|ENST00000564288.1|MACF1,4956,7mer-m8,-3402,TDMD?,6
hsa-miR-1179,hsa_circ_0113277|chr1:39785335-39815299+|ENST00000564288.1|MACF1,4956,7mer-m8,-3402,TDMD?,6
hsa-miR-1179,hsa_circ_0113279|chr1:39788279-39806625+|ENST00000564288.1|MACF1,4872,7mer-m8,-3402,TDMD?,6
hsa-miR-1179,hsa_circ_0113280|chr1:39788279-39815299+|ENST00000564288.1|MACF1,4872,7mer-m8,-3402,TDMD?,6
hsa-miR-1179,hsa_circ_0113281|chr1:39788279-39816690+|ENST00000564288.1|MACF1,4872,7mer-m8,-3402,TDMD?,6
hsa-miR-1179,hsa_circ_0113282|chr1:39788279-39818903+|ENST00000564288.1|MACF1,4872,7mer-m8,-3402,TDMD?,6
hsa-miR-1179,hsa_circ_0113283|chr1:39788279-39827349+|ENST00000564288.1|MACF1,4872,7mer-m8,-3402,TDMD?,6
hsa-miR-1179,hsa_circ_0113284|chr1:39788279-39854330+|ENST00000564288.1|MACF1,4872,7mer-m8,-3402,TDMD?,6
hsa-miR-1179,hsa_circ_0113285|chr1:39796882-39806625+|ENST00000564288.1|MACF1,4279,7mer-m8,-3402,TDMD?,6
hsa-miR-1179,hsa_circ_0113987|chr1:70397189-70460316+|ENST00000310961.5|LRRC7,333,7mer-a1,-2383,TDMD?,6
hsa-miR-1179,hsa_circ_0113988|chr1:70397189-70494054+|ENST00000310961.5|LRRC7,333,7mer-a1,-2383,TDMD?,6
hsa-miR-1179,hsa_circ_0113990|chr1:70425286-70460316+|ENST00000310961.5|LRRC7,21044,7mer-a1,-2383,TDMD?,6
hsa-miR-1179,hsa_circ_0113992|chr1:70446061-70460316+|ENST00000310961.5|LRRC7,269,7mer-a1,-2383,TDMD?,6
hsa-miR-1179,hsa_circ_0113993|chr1:70446061-70486812+|ENST00000310961.5|LRRC7,269,7mer-a1,-2383,TDMD?,6
hsa-miR-1179,hsa_circ_0113994|chr1:70451924-70494054+|ENST00000310961.5|LRRC7,194,7mer-a1,-2383,TDMD?,6
hsa-miR-1179,hsa_circ_0113995|chr1:70451924-70518828+|NM_020794|LRRC7,194,7mer-a1,-2383,TDMD?,6
hsa-miR-1179,hsa_circ_0113996|chr1:70460243-70478772+|ENST00000310961.5|LRRC7,49,7mer-a1,-2383,TDMD?,6
hsa-miR-1179,hsa_circ_0114560|chr1:95144980-95235869-|TCONS_l2_00001386|TCONS_l2_00001386,48493,7mer-m8,-4443,TDMD?,6
hsa-miR-1179,hsa_circ_0114843|chr20:24468398-24565629+|ENST00000376862.3|SYNDIG1,40406,7mer-a1,-2938,TDMD,6
hsa-miR-1179,hsa_circ_0115526|chr20:58426622-58517567+|ENST00000358293.3|FAM217B,60443,7mer-a1,-2838,TDMD?,6
hsa-miR-1179,hsa_circ_0115527|chr20:58436498-58517567+|ENST00000358293.3|FAM217B,50567,7mer-a1,-2838,TDMD?,6
hsa-miR-1179,hsa_circ_0115528|chr20:58436498-58524391+|ENST00000358293.3|FAM217B,50567,7mer-a1,-2838,TDMD?,6
hsa-miR-1179,hsa_circ_0119392|chr2:238647874-238683105+|NM_001137550|LRRFIP1,937,7mer-m8,-3105,TDMD,6
hsa-miR-1179,hsa_circ_0120245|chr2:50463926-50484466-|NM_001135659|NRXN1,1014,7mer-a1,-3103,TDMD?,6
hsa-miR-1179,hsa_circ_0120364|chr2:55020425-55056614+|ENST00000356458.6|EML6,13805,7mer-m8,-4573,TDMD?,7
hsa-miR-1179,hsa_circ_0122589|chr3:160425989-160458911-|None|None,1876,7mer-m8,-3833,TDMD,10
hsa-miR-1179,hsa_circ_0122684|chr3:170077486-170099129+|NM_005414|SKIL,591,7mer-a1,-2918,TDMD?,6
hsa-miR-1179,hsa_circ_0122685|chr3:170077486-170102553+|NM_005414|SKIL,591,7mer-a1,-2918,TDMD?,6
hsa-miR-1179,hsa_circ_0122686|chr3:170077486-170108252+|NM_005414|SKIL,591,7mer-a1,-2918,TDMD?,6
hsa-miR-1179,hsa_circ_0122687|chr3:170077486-170109048+|NM_005414|SKIL,591,7mer-a1,-2918,TDMD?,6
hsa-miR-1179,hsa_circ_0122870|chr3:180680649-180703784-|ENST00000382564.2|DNAJC19,7501,7mer-a1,-3374,TDMD?,6
hsa-miR-1179,hsa_circ_0123444|chr3:28304781-28336020+|ENST00000466830.1|CMC1,4482,7mer-m8,-4121,TDMD?,6
hsa-miR-1179,hsa_circ_0123445|chr3:28304781-28339841+|ENST00000466830.1|CMC1,4482,7mer-m8,-4121,TDMD?,6
hsa-miR-1179,hsa_circ_0125218|chr4:123160670-123195591+|ENST00000264501.4|KIAA1109,2805,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0125219|chr4:123167837-123179998+|ENST00000264501.4|KIAA1109,1454,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0125220|chr4:123170639-123179998+|ENST00000264501.4|KIAA1109,1126,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0125221|chr4:123170639-123195591+|ENST00000264501.4|KIAA1109,1126,7mer-a1,-2409,TDMD?,7
hsa-miR-1179,hsa_circ_0126816|chr4:66347172-66361261-|ENST00000273854.3|EPHA5,3298,7mer-m8,-3753,TDMD,6
hsa-miR-1179,hsa_circ_0127327|chr4:93581728-93591616+|ENST00000282020.4|GRID2,6283,7mer-a1,-2947,TDMD?,6
hsa-miR-1179,hsa_circ_0127328|chr4:93587824-93591616+|ENST00000282020.4|GRID2,187,7mer-a1,-2947,TDMD?,6
hsa-miR-1179,hsa_circ_0128251|chr5:14601073-14616053+|NM_019018|FAM105A,5848,7mer-m8,-3755,TDMD?,8
hsa-miR-1179,hsa_circ_0128257|chr5:14614639-14616053+|ENST00000506258.2|FAM105A,625,7mer-m8,-3755,TDMD?,8
hsa-miR-1179,hsa_circ_0128409|chr5:155249062-155297434+|ENST00000517913.1|SGCD,17387,7mer-a1,-3126,TDMD,6
hsa-miR-1179,hsa_circ_0128411|chr5:155261684-155285854+|ENST00000363405.1|RNA5SP199,4765,7mer-a1,-3126,TDMD,6
hsa-miR-1179,hsa_circ_0128412|chr5:155261684-155297434+|ENST00000517913.1|SGCD,4765,7mer-a1,-3126,TDMD,6
hsa-miR-1179,hsa_circ_0129266|chr5:60719355-60790237+|NM_020928|ZSWIM6,42117,7mer-m8,-3753,TDMD?,6
hsa-miR-1179,hsa_circ_0129871|chr5:86595268-86633908+|ENST00000506290.1|RASA1,27354,7mer-m8,-4315,TDMD,7
hsa-miR-1179,hsa_circ_0130406|chr6:114489518-114549942-|ENST00000441954.2|HS3ST5,30069,7mer-m8,-4226,TDMD,6
hsa-miR-1179,hsa_circ_0131739|chr6:41859195-41859613-|ENST00000373006.1|USP49,216,7mer-a1,-3374,TDMD?,6
hsa-miR-1179,hsa_circ_0132014|chr6:599159-619521+|ENST00000230449.4|EXOC2,12961,7mer-a1,-2892,TDMD,8
hsa-miR-1179,hsa_circ_0133229|chr7:124987178-125043718+|TCONS_l2_00027211|TCONS_l2_00027211,10840,7mer-m8,-3426,TDMD?,6
hsa-miR-1179,hsa_circ_0133682|chr7:149930123-149934697-|TCONS_00014005|TCONS_00014005,1639,7mer-a1,-2534,TDMD?,6
hsa-miR-1179,hsa_circ_0133873|chr7:17175031-17189830-|None|None,13470,7mer-a1,-2947,TDMD,7
hsa-miR-1179,hsa_circ_0133874|chr7:17175031-17208215-|None|None,31855,7mer-a1,-2947,TDMD,7
hsa-miR-1179,hsa_circ_0135338|chr8:103277327-103300494-|NM_015902|UBR5,189,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0135347|chr8:103293516-103317523-|NM_015902|UBR5,2286,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0135348|chr8:103297740-103309212-|NM_015902|UBR5,1329,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0135349|chr8:103299660-103301804-|NM_015902|UBR5,313,7mer-a1,-2913,TDMD?,6
hsa-miR-1179,hsa_circ_0135381|chr8:103892122-103991183+|ENST00000522939.1|KB-1507C5.2,87441,7mer-a1,-2974,TDMD?,7
hsa-miR-1179,hsa_circ_0135390|chr8:104360712-104417089-|ENST00000297578.4|SLC25A32,44153,7mer-a1,-3077,TDMD,6
hsa-miR-1179,hsa_circ_0135391|chr8:104367438-104420012-|ENST00000297578.4|SLC25A32,44304,7mer-a1,-3077,TDMD,6
hsa-miR-1179,hsa_circ_0136716|chr8:52412258-52454450-|NM_144651|PXDNL,42144,7mer-a1,-2884,TDMD?,7
hsa-miR-1179,hsa_circ_0137234|chr8:8775563-8793300+|TCONS_00014594|TCONS_00014594,627,7mer-a1,-3009,TDMD?,6
hsa-miR-1179,hsa_circ_0139161|chr9:87635120-87683434+|ENST00000376214.1|NTRK2,4417,7mer-m8,-4179,TDMD?,7
hsa-miR-1179,hsa_circ_0139162|chr9:87635120-87693261+|ENST00000376214.1|NTRK2,4417,7mer-m8,-4179,TDMD?,7
hsa-miR-1179,hsa_circ_0140136|chrX:22962001-22974149+|ENST00000455399.1|RP11-40F8.2,9434,7mer-a1,-3220,TDMD?,7
hsa-miR-1179,hsa_circ_0140164|chrX:25488248-25566342+|None|None,51386,8mer,-4466,TDMD?,6
hsa-miR-1179,hsa_circ_0140370|chrX:51070572-51099879-|ENST00000425150.1|RP11-348F1.3,771,7mer-a1,-2265,TDMD,7
hsa-miR-1179,hsa_circ_0140432|chrX:56368803-56378532+|None|None,7296,7mer-a1,-2875,TDMD,8
hsa-miR-1179,hsa_circ_0140472|chrX:64271341-64333693+|TCONS_00017186|TCONS_00017186,59885,7mer-a1,-3075,TDMD?,6
hsa-miR-1179,hsa_circ_0140473|chrX:64280577-64333693+|TCONS_00017187|TCONS_00017187,35269,7mer-a1,-3075,TDMD?,6
hsa-miR-1179,hsa_circ_0140475|chrX:64295485-64333693+|TCONS_00017187|TCONS_00017187,20361,7mer-a1,-3075,TDMD?,6
hsa-miR-1179,hsa_circ_0140476|chrX:64295723-64333693+|TCONS_00017187|TCONS_00017187,20296,7mer-a1,-3075,TDMD?,6
hsa-miR-124-3p,hsa_circ_0002385|chr9:20582455-20586148-|NM_004529|MLLT3,2003,7mer-a1,-2281,TDMD?,6
hsa-miR-124-3p,hsa_circ_0003086|chr7:64630738-65139334+|NM_152626|ZNF92,301468,8mer,-6019,TDMD?,7
hsa-miR-124-3p,hsa_circ_0004182|chr2:36596250-36623930+|NM_016441|CRIM1,26225,7mer-a1,-2525,TDMD,8
hsa-miR-124-3p,hsa_circ_0004336|chr2:36596250-36706837+|NM_016441|CRIM1,26225,7mer-a1,-2525,TDMD,8
hsa-miR-124-3p,hsa_circ_0005507|chr2:36605499-36623930+|NM_016441|CRIM1,16976,7mer-a1,-2525,TDMD,8
hsa-miR-124-3p,hsa_circ_0005858|chr2:36615114-36691798+|NM_016441|CRIM1,7361,7mer-a1,-2525,TDMD,8
hsa-miR-124-3p,hsa_circ_0005979|chr7:64628126-65141946+|NR_027393|INTS4L1,263970,8mer,-6019,TDMD?,7
hsa-miR-124-3p,hsa_circ_0006294|chr2:36586046-36623930+|NM_016441|CRIM1,36429,7mer-a1,-2525,TDMD,8
hsa-miR-124-3p,hsa_circ_0006330|chr2:36586046-36669878+|NM_016441|CRIM1,36429,7mer-a1,-2525,TDMD,8
hsa-miR-124-3p,hsa_circ_0006442|chr7:64525376-65221561+|NR_033416|CCT6P3,423264,8mer,-6019,TDMD?,7
hsa-miR-124-3p,hsa_circ_0007469|chr7:64527427-65217151+|NM_152626|ZNF92,404779,8mer,-6019,TDMD?,7
hsa-miR-124-3p,hsa_circ_0007774|chr2:109116173-110604786-|NM_022336|EDAR,304083,8mer,-5897,TDMD,7
hsa-miR-124-3p,hsa_circ_0007971|chr2:36586046-36691798+|NM_016441|CRIM1,36429,7mer-a1,-2525,TDMD,8
hsa-miR-124-3p,hsa_circ_0007972|chr2:36605499-36669878+|NM_016441|CRIM1,16976,7mer-a1,-2525,TDMD,8
