Chromosome;Start;End;Strand;Number of included exons;Exon sizes;Exon offsets (0 base);Junction reads;Gene symbol;Transcript id;Flanking introns
chr14;64465631;64470048;+;4;127,158,148,611;0,1648,3020,3806;6;SYNE2;NM_015180;chr14:64465046-64465631|chr14:64470048-64473760
chr14;64465631;64483349;+;7;127,158,148,611,180,151,159;0,1648,3020,3806,8129,11052,17559;6;SYNE2;NM_015180;chr14:64465046-64465631|chr14:64483349-64484312
chr14;64465631;64488746;+;11;127,158,148,611,180,151,159,162,102,201,172;0,1648,3020,3806,8129,11052,17559,18681,21078,22401,22943;2;SYNE2;NM_015180;chr14:64465046-64465631|chr14:64488746-64489468
chr14;64465631;64489581;+;12;127,158,148,611,180,151,159,162,102,201,172,113;0,1648,3020,3806,8129,11052,17559,18681,21078,22401,22943,23837;20;SYNE2;NM_015180;chr14:64465046-64465631|chr14:64489581-64490974
chr14;64489468;64494511;+;6;113,203,120,292,152,310;0,1506,2161,2379,3828,4733;1;SYNE2;NM_015180;chr14:64488746-64489468|chr14:64494511-64496612
chr14;64490974;64529613;+;12;203,120,292,152,310,165,342,156,266,2101,323,145;0,655,873,2322,3227,5638,6759,23743,25354,27300,31687,38494;1;SYNE2;NM_015180;chr14:64489581-64490974|chr14:64529613-64532149
chr14;64516328;64520375;+;2;266,2101;0,1946;4;SYNE2;NM_015180;chr14:64514873-64516328|chr14:64520375-64522661
chr14;64518274;64520375;+;1;2101;0;2;SYNE2;NM_015180;chr14:64516594-64518274|chr14:64520375-64522661
chr14;64522661;64537628;+;4;323,145,219,266;0,6807,9488,14701;1;SYNE2;NM_015180;chr14:64520375-64522661|chr14:64537628-64540685
chr14;64529468;64537628;+;3;145,219,266;0,2681,7894;1;SYNE2;NM_015180;chr14:64522984-64529468|chr14:64537628-64540685
chr14;64547173;64548298;+;2;183,138;0,987;2;SYNE2;NM_015180;chr14:64545324-64547173|chr14:64548298-64554388
chr14;64554388;64560198;+;4;186,123,183,132;0,1903,3195,5678;1;SYNE2;NM_015180;chr14:64548298-64554388|chr14:64560198-64564666
chr14;64554388;64586327;+;10;186,123,183,132,198,75,111,117,231,183;0,1903,3195,5678,10278,11076,14261,19820,25670,31756;1;SYNE2;NM_015180;chr14:64548298-64554388|chr14:64586327-64587644
chr14;64568649;64574325;+;2;111,117;0,5559;6;SYNE2;NM_015180;chr14:64565539-64568649|chr14:64574325-64580058
chr14;64568649;64587779;+;5;111,117,231,183,135;0,5559,11409,17495,18995;2;SYNE2;NM_015180;chr14:64565539-64568649|chr14:64587779-64588729
chr14;64587644;64588851;+;2;135,122;0,1085;1;SYNE2;NM_015180;chr14:64586327-64587644|chr14:64588851-64589003
chr14;64595169;64604701;+;6;102,120,201,174,132,197;0,1330,1596,3813,5617,9335;1;SYNE2;NM_015180;chr14:64593525-64595169|chr14:64604701-64606658
chr14;64600786;64608806;+;5;132,197,133,183,147;0,3718,5872,7272,7873;1;SYNE2;NM_015180;chr14:64599156-64600786|chr14:64608806-64610489
chr14;64641661;64644201;+;2;195,126;0,2414;1;SYNE2;NM_015180;chr14:64637180-64641661|chr14:64644201-64653141
chr14;64882075;64882457;+;2;137,101;0,281;1;MTHFD1;uc010aqe.2;chr14:64879243-64882075|chr14:64882457-64884605
chr14;64988204;64990120;+;1;1916;0;3;ZBTB1;NM_014950;chr14:64971664-64988204|chr14:64990120-64998578
chr14;65922338;66028484;+;2;98,430;0,105716;3;FUT8;NM_178155;chr14:65878711-65922338|chr14:66028484-66082695
chr14;66028054;66028484;+;1;430;0;43;FUT8;NM_178155;chr14:65922436-66028054|chr14:66028484-66082695
chr14;66028054;66096324;+;4;430,116,163,115;0,54641,54874,68155;5;FUT8;NM_178155;chr14:65922436-66028054|chr14:66096324-66135960
chr14;66028054;66136198;+;5;430,116,163,115,238;0,54641,54874,68155,107906;3;FUT8;NM_178155;chr14:65922436-66028054|chr14:66136198-66188492
chr14;66082695;66188739;+;5;116,163,115,238,247;0,233,13514,53265,105797;1;FUT8;NM_004480;chr14:65922436-66082695|chr14:66188739-66190864
chr14;66096209;66136198;+;2;115,238;0,39751;1;FUT8;NM_004480;chr14:66083091-66096209|chr14:66136198-66188492
chr14;66188492;66191041;+;2;247,177;0,2372;2;FUT8;NM_004480;chr14:66136198-66188492|chr14:66191041-66199948
chr14;66188492;66200099;+;3;247,177,151;0,2372,11456;5;FUT8;NM_004480;chr14:66136198-66188492|chr14:66200099-66208810
chr14;67431907;67490392;+;2;135,43;0,58442;2;GPHN;uc001xiw.3;chr14:67391009-67431907|chr14:67490392-67525365
chr14;67431907;67525503;+;3;135,43,138;0,58442,93458;6;GPHN;NM_001024218;chr14:67389655-67431907|chr14:67525503-67555699
chr14;67490349;67589094;+;8;43,138,93,56,120,59,154,122;0,35016,65350,77223,86507,88228,89385,98623;1;GPHN;NM_001024218;chr14:67432042-67490349|chr14:67589094-67610078
chr14;67736417;67746254;+;2;83,288;0,9549;1;MPP5;NM_001256550;chr14:67708250-67736417|chr14:67746254-67759227
chr14;67736417;67770316;+;7;83,288,209,78,147,162,78;0,9549,22810,31688,32271,32709,33821;7;MPP5;NM_001256550;chr14:67708250-67736417|chr14:67770316-67779243
chr14;67736417;67790529;+;13;83,288,209,78,147,162,78,184,72,72,168,203,111;0,9549,22810,31688,32271,32709,33821,42826,47131,47707,50529,51356,54001;1;MPP5;NM_001256550;chr14:67708250-67736417|chr14:67790529-67799496
chr14;67768105;67779427;+;5;78,147,162,78,184;0,583,1021,2133,11138;1;MPP5;NM_001256550;chr14:67759436-67768105|chr14:67779427-67783548
chr14;67807156;67810155;-;2;79,67;0,2932;1;ATP6V1D;NM_015994;chr14:67805479-67807156|chr14:67810155-67812484
chr14;68120153;68129252;-;4;62,174,192,59;0,2979,6294,9040;2;VTI1B;NM_006370;chr14:68118198-68120153|chr14:68129252-68141091
chr14;68126447;68129252;-;2;192,59;0,2746;1;VTI1B;NM_006370;chr14:68123306-68126447|chr14:68129252-68141091
chr14;68151731;68157138;-;2;190,210;0,5197;9;RDH11;NM_016026;chr14:68145140-68151731|chr14:68157138-68157856
chr14;68151731;68159310;-;3;190,105,156;0,6125,7423;5;RDH11;NM_001252650;chr14:68145140-68151731|chr14:68159310-68159650
chr14;68228082;68229536;-;3;219,210,148;0,837,1306;1;ZFYVE26;NM_015346;chr14:68222862-68228082|chr14:68229536-68232943
chr14;68234420;68236447;-;3;137,32,137;0,813,1890;1;ZFYVE26;NM_015346;chr14:68233164-68234420|chr14:68236447-68238763
chr14;68352585;68353921;+;2;120,184;0,1152;1;RAD51B;NM_133510;chr14:68331856-68352585|chr14:68353921-68758600
chr14;69583082;69589077;-;4;130,140,37,144;0,1773,2828,5851;2;DCAF5;NM_001284207;chr14:69558604-69583082|chr14:69589077-69619130
chr14;70442431;70461197;+;4;100,48,57,81;0,2203,16702,18685;3;SMOC1;NM_001034852;chr14:70420249-70442431|chr14:70461197-70477470
chr14;70459133;70490164;+;6;57,81,193,83,106,245;0,1983,18337,19068,20969,30786;2;SMOC1;NM_001034852;chr14:70444682-70459133|chr14:70490164-70496958
chr14;70477470;70490164;+;4;193,83,106,245;0,731,2632,12449;1;SMOC1;NM_001034852;chr14:70461197-70477470|chr14:70490164-70496958
chr14;70633355;70635201;-;1;1846;0;2;SLC8A3;NM_033262;chr14:70530646-70633355|chr14:70635201-70655095
chr14;71209067;71209308;-;1;241;0;1;MAP3K9;NM_001284231;chr14:71206881-71209067|chr14:71209308-71215545
chr14;71227718;71227899;-;1;181;0;1;MAP3K9;NM_001284231;chr14:71216798-71227718|chr14:71227899-71232158
chr14;71428942;71429048;+;1;106;0;2;PCNX;uc001xmn.4;chr14:71413840-71428942|chr14:71429048-71434914
chr14;71428942;71479919;+;9;106,46,90,1707,133,185,91,58,218;0,5972,6795,14716,26341,33515,47408,49266,50759;2;PCNX;NM_014982;chr14:71413840-71428942|chr14:71479919-71485725
chr14;71455283;71462642;+;2;133,185;0,7174;4;PCNX;NM_014982;chr14:71445365-71455283|chr14:71462642-71476350
chr14;71476350;71479919;+;3;91,58,218;0,1858,3351;2;PCNX;NM_014982;chr14:71462642-71476350|chr14:71479919-71485725
chr14;71485725;71502874;+;8;154,33,172,111,92,110,106,93;0,4191,7108,7763,9691,14420,14922,17056;5;PCNX;NM_014982;chr14:71479919-71485725|chr14:71502874-71511849
chr14;71492833;71502874;+;6;172,111,92,110,106,93;0,655,2583,7312,7814,9948;6;PCNX;NM_014982;chr14:71489949-71492833|chr14:71502874-71511849
chr14;71502781;71518729;+;6;93,151,142,178,109,130;0,9068,10899,11742,14587,15818;1;PCNX;NM_014982;chr14:71500753-71502781|chr14:71518729-71522220
chr14;71511849;71524441;+;7;151,142,178,109,130,59,216;0,1831,2674,5519,6750,10371,12376;2;PCNX;NM_014982;chr14:71502874-71511849|chr14:71524441-71540261
chr14;71540261;71556059;+;4;254,231,101,151;0,2644,14785,15647;3;PCNX;NM_014982;chr14:71524441-71540261|chr14:71556059-71568706
chr14;72054287;72056087;+;1;1800;0;1;SIPA1L1;uc001xms.3;chr14:71996087-72054287|chr14:72056087-72085473
chr14;72085473;72117226;+;3;131,189,175;0,5291,31578;1;SIPA1L1;uc001xms.3;chr14:72056087-72085473|chr14:72117226-72125049
chr14;72169097;72202108;+;9;125,63,119,443,240,166,247,147,115;0,2340,2841,6841,21266,22289,27674,31285,32896;1;SIPA1L1;uc001xms.3;chr14:72165844-72169097|chr14:72202108-72204957
chr14;73445568;73460065;-;3;109,107,215;0,2928,14282;1;ZFYVE1;NM_001281734;chr14:73444942-73445568|chr14:73460065-73464518
chr14;73459850;73460065;-;1;215;0;3;ZFYVE1;NM_001281734;chr14:73448603-73459850|chr14:73460065-73464518
chr14;73543026;73544244;+;2;50,168;0,1050;2;RBM25;uc001xnn.4;chr14:73538455-73543026|chr14:73544244-73550201
chr14;73550201;73554869;+;2;58,161;0,4507;1;RBM25;uc001xnn.4;chr14:73544244-73550201|chr14:73554869-73563622
chr14;73614502;73614802;+;2;82,128;0,172;34;PSEN1;NM_007318;chr14:73603291-73614502|chr14:73614802-73637504
chr14;73614502;73614814;+;2;82,140;0,172;25;PSEN1;uc001xnq.4;chr14:73603291-73614502|chr14:73614814-73637504
chr14;73614502;73640415;+;4;82,140,251,142;0,172,23002,25771;14;PSEN1;NM_000021;chr14:73603291-73614502|chr14:73640415-73653560
chr14;73614502;73659572;+;6;82,140,251,142,68,221;0,172,23002,25771,39058,44849;4;PSEN1;NM_000021;chr14:73603291-73614502|chr14:73659572-73664738
chr14;73614502;73664837;+;7;82,140,251,142,68,221,99;0,172,23002,25771,39058,44849,50236;4;PSEN1;NM_000021;chr14:73603291-73614502|chr14:73664837-73673093
chr14;73637504;73640415;+;2;251,142;0,2769;1;PSEN1;NM_000021;chr14:73614814-73637504|chr14:73640415-73653560
chr14;73749066;73763993;-;4;147,205,141,75;0,4751,10375,14852;1;NUMB;uc010arq.1;chr14:73744001-73749066|chr14:73763993-73783097
chr14;73789837;73876776;-;4;75,141,85,132;0,32496,43767,86807;1;NUMB;NM_001005743;chr14:73783130-73789837|chr14:73876776-73925198
chr14;74376043;74387808;+;2;90,126;0,11639;1;ZNF410;uc001xoy.2;chr14:74371786-74376043|chr14:74387808-74388768
chr14;74420137;74422631;+;2;135,124;0,2370;1;COQ6;uc001xpe.3;chr14:74416883-74420137|chr14:74422631-74424849
chr14;74557934;74567941;+;4;75,38,67,84;0,4716,6562,9923;1;LIN52;NM_001024674;chr14:74551696-74557934|chr14:74567941-74665624
chr14;75136351;75138186;-;4;126,180,110,76;0,298,1113,1759;1;AREL1;NM_001039479;chr14:75134297-75136351|chr14:75138186-75139533
chr14;75181574;75199521;+;4;72,149,73,88;0,1079,8400,17859;1;FCF1;uc001xqf.1;chr14:75180210-75181574|chr14:75199521-75200778
chr14;75498770;75505115;-;3;112,72,73;0,1351,6272;1;MLH3;NM_001040108;chr14:75497405-75498770|chr14:75505115-75506613
chr14;75508317;75509180;-;2;86,99;0,764;2;MLH3;NM_001040108;chr14:75506718-75508317|chr14:75509180-75513078
chr14;75513078;75516421;-;1;3343;0;1;MLH3;NM_001040108;chr14:75509180-75513078|chr14:75516421-75518082
chr14;75553720;75555344;-;2;213,162;0,1462;3;NEK9;uc001xrj.3;chr14:75551389-75553720|chr14:75555344-75557972
chr14;75563802;75574190;-;6;171,162,109,156,753,145;0,3892,4557,6742,8850,10243;1;NEK9;uc001xrk.3;chr14:75562134-75563802|chr14:75574190-75576387
chr14;75567694;75570700;-;3;162,109,156;0,665,2850;1;NEK9;uc001xrk.3;chr14:75563973-75567694|chr14:75570700-75572652
chr14;75573204;75587877;-;10;201,145,193,51,65,111,132,106,71,56;0,841,3183,3819,6837,7701,10693,12328,14008,14617;1;NEK9;NM_033116;chr14:75572699-75573204|chr14:75587877-75590748
chr14;75576387;75577074;-;2;193,51;0,636;4;NEK9;uc001xrk.3;chr14:75574190-75576387|chr14:75577074-75580041
chr14;75577023;75590926;-;8;51,65,111,132,106,71,56,178;0,3018,3882,6874,8509,10189,10798,13725;1;NEK9;NM_033116;chr14:75576580-75577023|chr14:75590926-75593405
chr14;76088421;76108241;+;8;142,141,68,104,111,106,112,56;0,2533,11550,12831,17273,18876,19103,19764;1;FLVCR2;NM_017791;chr14:76045984-76088421|chr14:76108241-76112743
chr14;76173360;76203950;+;9;70,85,102,92,108,82,62,95,42;0,605,10843,12717,13578,25320,26971,28177,30548;1;TTLL5;uc010ask.2;chr14:76165613-76173360|chr14:76203950-76211437
chr14;76184203;76201632;+;6;102,92,108,82,62,95;0,1874,2735,14477,16128,17334;1;TTLL5;uc010ask.2;chr14:76174050-76184203|chr14:76201632-76203908
chr14;76198680;76201632;+;3;82,62,95;0,1651,2857;1;TTLL5;uc010ask.2;chr14:76187046-76198680|chr14:76201632-76203908
chr14;76238076;76259443;+;7;121,147,104,128,87,384,188;0,3750,5013,7841,10753,11413,21179;1;TTLL5;uc010ask.2;chr14:76232711-76238076|chr14:76259443-76286349
chr14;76248829;76249873;+;2;87,384;0,660;2;TTLL5;uc010ask.2;chr14:76246045-76248829|chr14:76249873-76259255
chr14;76330009;76368567;+;3;196,218,83;0,19018,38475;1;TTLL5;NM_015072;chr14:76286504-76330009|chr14:76368567-76420766
chr14;76349027;76368567;+;2;218,83;0,19457;2;TTLL5;NM_015072;chr14:76330205-76349027|chr14:76368567-76420766
chr14;76633005;76647192;+;6;65,177,80,68,55,86;0,5180,6883,9960,11325,14101;6;GPATCH2L;NM_017926;chr14:76621368-76633005|chr14:76647192-76662220
chr14;76633005;76662315;+;7;65,177,80,68,55,86,95;0,5180,6883,9960,11325,14101,29215;7;GPATCH2L;NM_017926;chr14:76621368-76633005|chr14:76662315-76668033
chr14;77237532;77239554;+;2;57,75;0,1947;2;VASH1;NM_014909;chr14:77236394-77237532|chr14:77239554-77242234
chr14;77750139;77757723;-;6;77,92,152,79,70,67;0,1153,1684,2947,4965,7517;1;POMT2;uc001xth.1;chr14:77746806-77750139|chr14:77757723-77762506
chr14;77917529;77920445;-;3;147,103,93;0,2112,2823;1;VIPAS39;NM_001193314;chr14:77916095-77917529|chr14:77920445-77923437
chr14;77930940;77932010;+;2;89,129;0,941;1;AHSA1;uc010tvk.1;chr14:77929102-77930940|chr14:77932010-77934425
chr14;77930940;77934851;+;4;89,129,102,52;0,941,3485,3859;1;AHSA1;uc010tvk.1;chr14:77929102-77930940|chr14:77934851-77934932
chr14;78036726;78045452;-;3;125,149,155;0,6383,8571;1;SPTLC2;NM_004863;chr14:78028832-78036726|chr14:78045452-78063528
chr14;78043109;78045452;-;2;149,155;0,2188;1;SPTLC2;NM_004863;chr14:78036851-78043109|chr14:78045452-78063528
chr14;79111462;79117669;+;2;302,162;0,6045;3;NRXN3;NR_073547;chr14:78767034-79111462|chr14:79117669-79175559
chr14;79111462;79181482;+;4;302,162,439,384;0,6045,64097,69636;2;NRXN3;NR_073547;chr14:78767034-79111462|chr14:79181482-79269962
chr14;79111462;79454484;+;10;302,162,439,384,204,120,382,191,174,120;0,6045,64097,69636,158500,312122,320905,322088,323053,342902;3;NRXN3;NR_073547;chr14:78767034-79111462|chr14:79454484-79933563
chr14;79117507;79181482;+;3;162,439,384;0,58052,63591;1;NRXN3;NR_073547;chr14:79111764-79117507|chr14:79181482-79269962
chr14;79175559;79270166;+;3;439,384,204;0,5539,94403;1;NRXN3;NR_073547;chr14:79117669-79175559|chr14:79270166-79423584
chr14;79423584;79454484;+;5;120,382,191,174,120;0,8783,9966,10931,30780;12;NRXN3;NR_073547;chr14:79270166-79423584|chr14:79454484-79933563
chr14;79933563;80130292;+;2;182,172;0,196557;1;NRXN3;NR_073547;chr14:79454484-79933563|chr14:80130292-80158515
chr14;79933563;80164280;+;4;182,172,90,308;0,196557,224952,230409;7;NRXN3;NR_073547;chr14:79454484-79933563|chr14:80164280-80271454
chr14;80130120;80164280;+;3;172,90,308;0,28395,33852;4;NRXN3;NR_073547;chr14:79933745-80130120|chr14:80164280-80271454
chr14;80158515;80164280;+;2;90,308;0,5457;3;NRXN3;NR_073547;chr14:80130292-80158515|chr14:80164280-80271454
chr14;80158515;80271533;+;3;90,308,79;0,5457,112939;3;NRXN3;NM_001105250;chr14:80130292-80158515|chr14:80271533-80328005
chr14;80163972;80271533;+;2;308,79;0,107482;2;NRXN3;NM_004796;chr14:80130292-80163972|chr14:80271533-80328005
chr14;80963811;80997230;-;4;114,109,114,78;0,7443,29401,33341;7;CEP128;uc031qpo.1;chr14:80944750-80963811|chr14:80997230-81025622
chr14;81209418;81227957;-;3;193,60,177;0,13817,18362;1;CEP128;uc010asz.3;chr14:81046767-81209418|chr14:81227957-81244225
chr14;81209418;81244390;-;4;193,60,177,165;0,13817,18362,34807;1;CEP128;uc010asz.3;chr14:81046767-81209418|chr14:81244390-81251238
chr14;81223235;81259454;-;5;60,177,165,651,351;0,4545,20990,28003,35868;1;CEP128;uc010asz.3;chr14:81209611-81223235|chr14:81259454-81297486
chr14;81244225;81259454;-;3;165,651,351;0,7013,14878;1;CEP128;uc010asz.3;chr14:81227957-81244225|chr14:81259454-81297486
chr14;81297486;81307112;-;4;152,133,75,87;0,5062,7061,9539;5;CEP128;uc031qpo.1;chr14:81284321-81297486|chr14:81307112-81329100
chr14;81329100;81372425;-;5;117,73,92,119,127;0,32961,37181,42056,43198;1;CEP128;uc031qpo.1;chr14:81307112-81329100|chr14:81372425-81380665
chr14;81362061;81366373;-;2;73,92;0,4220;3;CEP128;uc031qpo.1;chr14:81329217-81362061|chr14:81366373-81371156
chr14;81362061;81382906;-;6;73,92,119,127,87,162;0,4220,9095,10237,18604,20683;2;CEP128;uc031qpo.1;chr14:81329217-81362061|chr14:81382906-81405728
chr14;81651874;81670448;-;6;90,321,134,76,65,205;0,6988,10577,11878,16063,18369;1;GTF2A1;NM_001278940;chr14:81646674-81651874|chr14:81670448-81676213
chr14;81662451;81668002;-;3;134,76,65;0,1301,5486;1;GTF2A1;NM_001278940;chr14:81659183-81662451|chr14:81668002-81670243
chr14;88429727;88442832;-;4;128,125,156,131;0,2121,4951,12974;1;GALC;uc010tvw.1;chr14:88417092-88429727|chr14:88442832-88446848
chr14;88883054;88899556;+;6;134,473,67,116,54,78;0,9521,10919,12637,14461,16424;1;SPATA7;uc001xwq.3;chr14:88862547-88883054|chr14:88899556-88903886
chr14;89037427;89039351;+;3;41,196,430;0,946,1494;1;ZC3H14;NM_001160103;chr14:89034497-89037427|chr14:89039351-89041036
chr14;89041036;89044484;+;3;161,101,156;0,1147,3292;1;ZC3H14;NM_001160103;chr14:89039351-89041036|chr14:89044484-89063077
chr14;89093181;89110855;-;6;209,174,21,99,130,79;0,808,7631,11971,16055,17595;2;EML5;uc001xxf.3;chr14:89091471-89093181|chr14:89110855-89123719
chr14;89105152;89110855;-;3;99,130,79;0,4084,5624;1;EML5;uc001xxf.3;chr14:89100833-89105152|chr14:89110855-89123719
chr14;89123719;89131833;-;6;127,202,177,89,132,153;0,811,4278,5655,7117,7961;3;EML5;NM_183387;chr14:89116270-89123719|chr14:89131833-89148233
chr14;89148233;89172770;-;11;142,128,112,203,101,94,106,187,119,107,168;0,3125,5326,6381,12417,13471,14957,20556,22970,23592,24369;1;EML5;NM_183387;chr14:89131833-89148233|chr14:89172770-89178614
chr14;89148233;89221015;-;20;142,128,112,203,101,94,106,187,119,107,168,213,257,138,202,136,186,69,99,160;0,3125,5326,6381,12417,13471,14957,20556,22970,23592,24369,30381,33049,44651,54474,56989,58497,62133,64295,72622;1;EML5;NM_183387;chr14:89131833-89148233|chr14:89221015-89258650
chr14;89154614;89168976;-;5;203,101,94,106,187;0,6036,7090,8576,14175;1;EML5;NM_183387;chr14:89153671-89154614|chr14:89168976-89171203
chr14;89178614;89181539;-;2;213,257;0,2668;3;EML5;NM_183387;chr14:89172770-89178614|chr14:89181539-89192884
chr14;89178614;89221015;-;9;213,257,138,202,136,186,69,99,160;0,2668,14270,24093,26608,28116,31752,33914,42241;1;EML5;NM_183387;chr14:89172770-89178614|chr14:89221015-89258650
chr14;89192884;89212627;-;6;138,202,136,186,69,99;0,9823,12338,13846,17482,19644;4;EML5;NM_183387;chr14:89181539-89192884|chr14:89212627-89220855
chr14;89192884;89221015;-;7;138,202,136,186,69,99,160;0,9823,12338,13846,17482,19644,27971;7;EML5;NM_183387;chr14:89181539-89192884|chr14:89221015-89258650
chr14;89202707;89221015;-;6;202,136,186,69,99,160;0,2515,4023,7659,9821,18148;1;EML5;NM_183387;chr14:89193022-89202707|chr14:89221015-89258650
chr14;90397884;90398971;-;2;91,102;0,985;2;EFCAB11;NM_001284269;chr14:90263668-90397884|chr14:90398971-90416440
chr14;90429451;90459827;+;13;566,88,44,56,97,35,140,168,79,186,49,67,108;0,1743,3039,4259,8067,12673,17432,21408,22024,25797,26609,28809,30268;1;TDP1;uc010atm.3;chr14:90423144-90429451|chr14:90459827-90485659
chr14;91110391;91121454;-;4;161,73,58,118;0,2903,8793,10945;1;TTC7B;uc010ats.3;chr14:91084389-91110391|chr14:91121454-91123517
chr14;91142866;91252672;-;8;138,64,173,79,122,131,169,155;0,3949,13017,18977,53552,68269,104215,109651;1;TTC7B;NM_001010854;chr14:91124731-91142866|chr14:91252672-91282518
chr14;91386549;91413894;-;4;104,84,108,116;0,2907,22872,27229;3;RPS6KA5;uc010twi.1;chr14:91372643-91386549|chr14:91413894-91444649
chr14;91409421;91413894;-;2;108,116;0,4357;5;RPS6KA5;uc010twi.1;chr14:91389540-91409421|chr14:91413894-91444649
chr14;91755448;91760662;-;3;239,90,146;0,1890,5068;1;CCDC88C;NM_001080414;chr14:91749861-91755448|chr14:91760662-91763648
chr14;91757338;91760662;-;2;90,146;0,3178;1;CCDC88C;NM_001080414;chr14:91755687-91757338|chr14:91760662-91763648
chr14;91804348;91810001;-;6;159,82,185,141,84,59;0,484,1273,1879,4375,5594;1;CCDC88C;NM_001080414;chr14:91792400-91804348|chr14:91810001-91825985
chr14;91939376;91939714;-;2;103,132;0,206;1;SMEK1;NM_001284280;chr14:91937339-91939376|chr14:91939714-91942193
chr14;91947919;91952074;-;2;618,99;0,4056;7;SMEK1;NM_001284280;chr14:91943330-91947919|chr14:91952074-91957090
chr14;91947919;91957146;-;3;618,99,56;0,4056,9171;3;SMEK1;NM_001284280;chr14:91943330-91947919|chr14:91957146-91975849
chr14;92454627;92461859;-;3;100,104,164;0,5525,7068;1;TRIP11;uc010auf.2;chr14:92442533-92454627|chr14:92461859-92465583
chr14;92461695;92477416;-;6;164,194,141,3030,213,87;0,3888,4616,8067,12288,15634;1;TRIP11;NM_004239;chr14:92460256-92461695|chr14:92477416-92478098
chr14;92469762;92478139;-;3;3030,213,41;0,4221,8336;1;TRIP11;uc010auf.2;chr14:92466452-92469762|chr14:92478139-92480558
chr14;92537278;92548810;-;3;119,97,167;0,10030,11365;2;ATXN3;NM_001127696;chr14:92530758-92537278|chr14:92548810-92549469
chr14;92548643;92560175;-;5;167,133,88,67,86;0,826,6430,10952,11446;1;ATXN3;NM_001127696;chr14:92547405-92548643|chr14:92560175-92563017
chr14;92559595;92563182;-;3;67,86,165;0,494,3422;2;ATXN3;NM_001127696;chr14:92555161-92559595|chr14:92563182-92572872
chr14;92592465;92609638;+;8;59,183,160,106,130,116,188,291;0,4829,7889,8128,9245,12110,16042,16882;3;CPSF2;NM_017437;chr14:92588472-92592465|chr14:92609638-92620701
chr14;93273080;93275864;+;2;228,220;0,2564;1;GOLGA5;NM_005113;chr14:93264326-93273080|chr14:93275864-93276598
chr14;93273080;93303794;+;10;228,220,124,204,171,129,99,226,106,64;0,2564,3518,4815,9515,12972,17810,26386,28823,30650;1;GOLGA5;NM_005113;chr14:93264326-93273080|chr14:93303794-93305710
chr14;93276598;93282766;+;3;124,204,171;0,1297,5997;1;GOLGA5;NM_005113;chr14:93275864-93276598|chr14:93282766-93286052
chr14;93676169;93677054;+;2;134,61;0,824;1;UBR7;NM_175748;chr14:93673786-93676169|chr14:93677054-93678377
chr14;93719992;93728023;-;3;144,161,76;0,3548,7955;1;BTBD7;uc010aur.3;chr14:93717998-93719992|chr14:93728023-93760203
chr14;93723540;93762503;-;5;161,76,209,1080,188;0,4407,6590,36663,38775;2;BTBD7;NM_001002860;chr14:93720136-93723540|chr14:93762503-93799165
chr14;93760203;93761283;-;1;1080;0;5;BTBD7;NM_001002860;chr14:93730339-93760203|chr14:93761283-93762315
chr14;93760203;93762503;-;2;1080,188;0,2112;18;BTBD7;NM_001002860;chr14:93730339-93760203|chr14:93762503-93799165
chr14;93934016;93944074;+;3;121,146,171;0,6577,9887;1;UNC79;NM_020818;chr14:93799869-93934016|chr14:93944074-93954008
chr14;93934016;93954101;+;4;121,146,171,93;0,6577,9887,19992;11;UNC79;NM_020818;chr14:93799869-93934016|chr14:93954101-93962756
chr14;93934016;93963632;+;6;121,146,171,93,56,130;0,6577,9887,19992,28740,29486;8;UNC79;NM_020818;chr14:93799869-93934016|chr14:93963632-93990323
chr14;93940593;94009042;+;12;146,171,93,56,130,65,89,41,29,230,172,231;0,3310,13415,22163,22909,49730,54310,55038,58302,63741,66412,68218;1;UNC79;NM_020818;chr14:93934137-93940593|chr14:94009042-94038239
chr14;93962756;93963632;+;2;56,130;0,746;2;UNC79;NM_020818;chr14:93954101-93962756|chr14:93963632-93990323
chr14;94008811;94009042;+;1;231;0;2;UNC79;NM_020818;chr14:94007177-94008811|chr14:94009042-94038239
chr14;94038239;94053254;+;8;191,124,141,222,228,142,80,149;0,799,3164,5948,8255,10309,14702,14866;1;UNC79;NM_020818;chr14:94009042-94038239|chr14:94053254-94060025
chr14;94046494;94053021;+;3;228,142,80;0,2054,6447;1;UNC79;NM_020818;chr14:94044409-94046494|chr14:94053021-94053105
chr14;94052941;94053254;+;2;80,149;0,164;2;UNC79;NM_020818;chr14:94048690-94052941|chr14:94053254-94060025
chr14;96794683;96795971;-;3;189,93,151;0,327,1137;1;ATG2B;NM_018036;chr14:96792259-96794683|chr14:96795971-96797712
chr14;96807858;96813678;-;5;180,163,103,153,163;0,1597,3132,3711,5657;17;ATG2B;NM_018036;chr14:96800838-96807858|chr14:96813678-96829151
chr14;96986391;96987409;+;2;174,67;0,951;1;PAPOLA;NM_001252006;chr14:96968937-96986391|chr14:96987409-96991646
chr14;96986391;96991728;+;3;174,67,82;0,951,5255;3;PAPOLA;NM_001252006;chr14:96968937-96986391|chr14:96991728-96993766
chr14;96986391;96994343;+;5;174,67,82,110,54;0,951,5255,7375,7898;4;PAPOLA;NM_001252006;chr14:96968937-96986391|chr14:96994343-96997811
chr14;97022183;97022750;+;2;101,239;0,328;1;PAPOLA;NM_032632;chr14:97018959-97022183|chr14:97022750-97026985
