Chromosome;Start;End;Strand;Number of included exons;Exon sizes;Exon offsets (0 base);Junction reads;Gene symbol;Transcript id;Flanking introns
chr6;90432673;90433338;-;2;189,108;0,557;2;MDN1;NM_014611;chr6:90428944-90432673|chr6:90433338-90434917
chr6;99912479;99916494;-;4;144,57,92,82;0,476,2068,3933;2;USP45;NM_001080481;chr6:99894339-99912479|chr6:99916494-99924018
chr7;100417178;100417918;-;2;333,156;0,584;2;EPHB4;uc003uwm.1;chr7:100416266-100417178|chr7:100417918-100419892
chr7;101559394;101838883;+;13;111,48,79,138,124,77,67,49,105,189,59,49,97;0,111983,154224,181249,188221,195583,199092,242445,254331,262354,273698,277727,279392;2;CUX1;NM_001202543;chr7:101459373-101559394|chr7:101838883-101839913
chr7;102994367;102996240;+;3;38,82,100;0,947,1773;2;PSMC2;NM_001204453;chr7:102988228-102994367|chr7:102996240-103002403
chr7;103828698;103844682;-;5;131,112,75,201,93;0,6892,9474,12507,15891;2;ORC5;NM_002553;chr7:103824619-103828698|chr7:103844682-103848280
chr7;104678572;104681470;+;2;74,185;0,2713;2;KMT2E;uc010lja.1;chr7:104654982-104678572|chr7:104681470-104702610
chr7;106871059;106898828;-;5;77,238,104,63,111;0,5835,17781,26117,27658;2;COG5;NM_006348;chr7:106851670-106871059|chr7:106898828-106921744
chr7;110526648;111201979;-;5;103,66,104,137,73;0,76907,600645,634720,675258;2;IMMP2L;NM_001244606;chr7:110303777-110526648|chr7:111201979-111202519
chr7;11101417;11151094;+;3;51,122,118;0,173,49559;2;PHF14;NR_033436;chr7:11091407-11101417|chr7:11151094-11209042
chr7;121731756;121773795;-;17;141,109,111,127,122,68,60,112,123,149,128,79,147,68,85,177,225;0,1140,1345,6747,7042,9668,9918,21415,21895,23371,24930,25176,26604,26860,34672,37658,41814;2;AASS;NM_005763;chr7:121726233-121731756|chr7:121773795-121784214
chr7;123344687;123349277;-;4;24,97,87,135;0,1643,2106,4455;2;WASL;NM_003941;chr7:123336801-123344687|chr7:123349277-123388671
chr7;127013395;127017383;-;2;1693,144;0,3844;2;ZNF800;uc003vlw.1;chr7:127011868-127013395|chr7:127017383-127026113
chr7;129679303;129688984;-;3;84,151,112;0,1487,9569;2;ZC3HC1;uc003vpi.3;chr7:129668869-129679303|chr7:129688984-129691060
chr7;138199956;138200104;+;1;148;0;2;TRIM24;NM_003852;chr7:138189153-138199956|chr7:138200104-138203933
chr7;138209985;138223548;+;3;117,115,147;0,3875,13416;2;TRIM24;NM_003852;chr7:138204066-138209985|chr7:138223548-138235807
chr7;148427053;148464841;+;8;301,175,168,51,91,164,163,131;0,24014,27021,29342,29586,30371,36599,37657;2;CUL1;uc010lpg.3;chr7:148395370-148427053|chr7:148464841-148480874
chr7;148529725;148544397;-;3;117,102,124;0,13863,14548;2;EZH2;NM_001203249;chr7:148526940-148529725|chr7:148544397-148580288
chr7;151960100;151962294;-;2;115,172;0,2022;2;KMT2C;NM_170606;chr7:151949800-151960100|chr7:151962294-151970789
chr7;155093275;155094556;+;3;125,167,100;0,685,1181;2;INSIG1;NM_005542;chr7:155090407-155093275|chr7:155094556-155099950
chr7;155457868;155473602;+;4;79,49,77,319;0,7692,13433,15415;2;RBM33;uc003wme.3;chr7:155437613-155457868|chr7:155473602-155493466
chr7;156516805;156619438;-;12;67,91,74,78,77,81,73,65,69,127,104,140;0,1323,1652,3818,4532,10065,32281,38022,38996,39557,72277,102493;2;LMBR1;NM_022458;chr7:156480885-156516805|chr7:156619438-156626446
chr7;156758963;156759786;+;2;133,132;0,691;2;NOM1;NM_138400;chr7:156756720-156758963|chr7:156759786-156761780
chr7;157013382;157041274;+;5;88,98,133,248,213;0,2565,4718,10391,27679;2;UBE3C;NM_014671;chr7:157009665-157013382|chr7:157041274-157046647
chr7;157174939;157178305;+;3;132,142,71;0,2621,3295;2;DNAJB6;uc003wnk.3;chr7:157160177-157174939|chr7:157178305-157202488
chr7;158436980;158439255;-;3;100,101,104;0,1230,2171;2;NCAPG2;NM_001281932;chr7:158424409-158436980|chr7:158439255-158443523
chr7;158580694;158591763;-;5;90,73,77,135,42;0,341,5646,9938,11027;2;ESYT2;NM_020728;chr7:158566087-158580694|chr7:158591763-158621779
chr7;22306582;22357656;-;6;49,67,169,122,107,51;0,24211,41375,43005,48406,51023;2;RAPGEF5;NM_012294;chr7:22270538-22306582|chr7:22357656-22396448
chr7;2269618;2270362;-;2;160,179;0,565;2;MAD1L1;NM_001013836;chr7:2265185-2269618|chr7:2270362-2272506
chr7;33057050;33075600;-;8;163,90,86,47,70,99,86,55;0,2196,3833,4614,6600,9378,12190,18495;2;NT5C3A;NM_001166118;chr7:33055482-33057050|chr7:33075600-33080483
chr7;33185853;33217203;+;4;123,151,65,114;0,6459,9396,31236;2;BBS9;NM_001033604;chr7:33169653-33185853|chr7:33217203-33296847
chr7;45688268;45701813;+;4;128,159,142,156;0,9057,11372,13389;2;ADCY1;NM_001281768;chr7:45662342-45688268|chr7:45701813-45703887
chr7;50737418;50771605;-;3;142,223,88;0,4714,34099;2;GRB10;NM_001001550;chr7:50694675-50737418|chr7:50771605-50772836
chr7;50737418;50773020;-;4;142,223,88,184;0,4714,34099,35418;2;GRB10;uc010kzb.2;chr7:50694675-50737418|chr7:50773020-50823583
chr7;5963017;5963593;+;2;159,128;0,448;2;CCZ1;NM_015622;chr7:5959597-5963017|chr7:5963593-5965262
chr7;6150755;6155154;+;2;250,201;0,4198;2;USP42;uc011jwn.1;chr7:6144663-6150755|chr7:6155154-6156425
chr7;6178722;6185879;+;7;103,68,71,83,112,141,101;0,1036,1822,3840,4993,6424,7056;2;USP42;uc010kth.1;chr7:6175582-6178722|chr7:6185879-6187369
chr7;65592690;65599361;+;2;37,95;0,6576;2;CRCP;NM_001040647;chr7:65579957-65592690|chr7:65599361-65610429
chr7;6854394;6861995;-;3;82,176,84;0,5002,7517;2;CCZ1B;NM_198097;chr7:6852668-6854394|chr7:6861995-6862943
chr7;70880874;70886091;+;2;175,198;0,5019;2;WBSCR17;NM_022479;chr7:70853387-70880874|chr7:70886091-71036269
chr7;716865;751164;-;3;92,171,199;0,3327,34100;2;PRKAR1B;NM_002735;chr7:647089-716865|chr7:751164-752050
chr7;72883846;72884813;-;2;134,139;0,828;2;BAZ1B;NM_032408;chr7:72880731-72883846|chr7:72884813-72891197
chr7;73770739;73771807;+;2;214,198;0,870;2;CLIP2;NM_003388;chr7:73768334-73770739|chr7:73771807-73774504
chr7;77200394;77221573;+;5;109,77,96,39,72;0,10349,12477,14465,21107;2;PTPN12;NM_002835;chr7:77166962-77200394|chr7:77221573-77227158
chr7;77210743;77221573;+;4;77,96,39,72;0,2128,4116,10758;2;PTPN12;NM_002835;chr7:77200503-77210743|chr7:77221573-77227158
chr7;92146589;92148392;-;3;767,115,84;0,865,1719;2;PEX1;NM_000466;chr7:92143281-92146589|chr7:92148392-92151415
chr7;98984307;98985884;+;2;105,223;0,1354;2;ARPC1B;NM_005720;chr7:98983401-98984307|chr7:98985884-98987527
chr8;101724589;101725409;-;3;96,138,95;0,290,725;2;PABPC1;uc011lhc.1;chr8:101721959-101724589|chr8:101725409-101727689
chr8;103842048;103855975;-;8;116,163,75,82,135,173,174,197;0,3235,4368,4845,6435,8923,9829,13730;2;AZIN1;NM_015878;chr8:103841714-103842048|chr8:103855975-103862226
chr8;124089350;124109681;+;5;147,116,179,152,160;0,5591,7051,16480,20171;2;WDR67;uc003ypo.1;chr8:124085086-124089350|chr8:124109681-124113046
chr8;132952745;132958880;+;3;77,128,151;0,4246,5984;2;EFR3A;NM_015137;chr8:132916569-132952745|chr8:132958880-132962215
chr8;132952745;132966214;+;5;77,128,151,122,150;0,4246,5984,9470,13319;2;EFR3A;NM_015137;chr8:132916569-132952745|chr8:132966214-132968014
chr8;141745349;141762415;-;6;205,90,101,116,101,85;0,3767,7979,9401,11509,16981;2;PTK2;uc003yvo.3;chr8:141727808-141745349|chr8:141762415-141771263
chr8;141771263;141774389;-;3;98,21,57;0,1203,3069;2;PTK2;uc003yvp.3;chr8:141762415-141771263|chr8:141774389-141799572
chr8;141799572;141840625;-;7;53,31,118,108,78,141,55;0,3880,10985,14069,28803,29406,40998;2;PTK2;uc003yvq.3;chr8:141774389-141799572|chr8:141840625-141856358
chr8;141810557;141900868;-;10;118,108,78,141,55,63,80,88,167,227;0,3084,17818,18421,30013,45801,46140,63853,79012,90084;2;PTK2;NM_001199649;chr8:141803483-141810557|chr8:141900868-141935759
chr8;141840570;141874498;-;4;55,63,80,88;0,15788,16127,33840;2;PTK2;uc003yvr.3;chr8:141829119-141840570|chr8:141874498-141889569
chr8;1824736;1857636;+;11;164,117,115,107,78,180,117,90,171,146,176;0,3477,6064,9030,16998,17822,19762,21865,26710,29000,32724;2;ARHGEF10;uc003wpq.1;chr8:1817416-1824736|chr8:1857636-1871129
chr8;1871129;1882108;+;8;116,128,101,122,87,224,158,143;0,504,810,2319,3413,5463,6322,10836;2;ARHGEF10;NM_014629;chr8:1857636-1871129|chr8:1882108-1893646
chr8;35583669;35631995;+;7;378,85,169,228,150,165,179;0,4860,22375,24430,33168,40750,48147;2;UNC5D;NM_080872;chr8:35579913-35583669|chr8:35631995-35647876
chr8;37985808;37986469;+;2;168,194;0,467;2;ASH2L;NM_001282272;chr8:37978667-37985808|chr8:37986469-37990971
chr8;42401611;42403923;+;2;138,125;0,2187;2;SMIM19;NM_001135676;chr8:42396342-42401611|chr8:42403923-42407686
chr8;52758220;52773806;-;2;103,402;0,15184;2;PCMTD1;NM_052937;chr8:52746249-52758220|chr8:52773806-52811489
chr8;53580580;53599527;-;7;171,430,203,171,127,122,115;0,5824,8348,15528,15866,17378,18832;2;RB1CC1;NM_001083617;chr8:53574279-53580580|chr8:53599527-53626634
chr8;66534497;66539668;-;2;92,218;0,4953;2;ARMC1;NM_018120;chr8:66525668-66534497|chr8:66539668-66546232
chr8;68999958;69002950;+;2;86,137;0,2855;2;PREX2;NM_025170;chr8:68995623-68999958|chr8:69002950-69005839
chr8;95470495;95479783;-;2;169,151;0,9137;2;RAD54B;NM_012415;chr8:95423543-95470495|chr8:95479783-95487228
chr8;95680176;95690599;+;4;302,219,187,169;0,3504,6359,10254;2;ESRP1;NM_001034915;chr8:95677424-95680176|chr8:95690599-95704904
chr9;101544748;101547158;-;3;107,205,45;0,1486,2365;2;ANKS6;uc004ayy.2;chr9:101542619-101544748|chr9:101547158-101552385
chr9;115024714;115060196;-;4;165,147,170,76;0,5614,13409,35406;2;PTBP3;NM_001244898;chr9:115015068-115024714|chr9:115060196-115095063
chr9;115030328;115060196;-;3;147,170,76;0,7795,29792;2;PTBP3;NM_001244898;chr9:115024879-115030328|chr9:115060196-115095063
chr9;115166274;115181238;+;3;164,99,99;0,1629,14865;2;HSDL2;NM_001195822;chr9:115142460-115166274|chr9:115181238-115200710
chr9;125042721;125054119;+;5;156,119,167,128,92;0,4726,5337,5596,11306;2;MRRF;uc010mvz.2;chr9:125033354-125042721|chr9:125054119-125075505
chr9;125639749;125659855;-;8;113,119,133,201,176,234,118,298;0,2284,2522,3123,5733,12841,15438,19808;2;RC3H2;NM_001100588;chr9:125627936-125639749|chr9:125659855-125667388
chr9;127064214;127076264;+;3;119,141,63;0,10573,11987;2;NEK6;NM_001166167;chr9:127020000-127064214|chr9:127076264-127083737
chr9;128305337;128434922;-;6;110,177,173,149,90,328;0,16574,42496,114592,126759,129257;2;MAPKAP1;NM_001006617;chr9:128268696-128305337|chr9:128434922-128469249
chr9;128347833;128434922;-;4;173,149,90,328;0,72096,84263,86761;2;MAPKAP1;NM_001006617;chr9:128322088-128347833|chr9:128434922-128469249
chr9;17298187;17342442;+;6;163,195,177,126,122,120;0,10868,32442,34415,42637,44135;2;CNTLN;uc003zmz.2;chr9:17273864-17298187|chr9:17342442-17366614
chr9;19076599;19096767;-;10;103,22,194,171,49,66,148,133,79,96;0,1574,3877,6271,10132,10489,12810,16569,17715,20072;2;HAUS6;NM_001270890;chr9:19070298-19076599|chr9:19096767-19102521
chr9;20907148;20916936;+;3;93,89,45;0,5716,9743;2;FOCAD;NM_017794;chr9:20885229-20907148|chr9:20916936-20923658
chr9;26861063;26884883;-;2;74,76;0,23744;2;CAAP1;NM_001167575;chr9:26842645-26861063|chr9:26884883-26886101
chr9;33948371;33948585;-;1;214;0;2;UBAP2;uc011loc.1;chr9:33944637-33948371|chr9:33948585-33953282
chr9;36197547;36204176;+;3;38,118,112;0,1428,6517;2;CLTA;NM_001076677;chr9:36191270-36197547|chr9:36204176-36209263
chr9;4117767;4118881;-;1;1114;0;2;GLIS3;NM_152629;chr9:3937189-4117767|chr9:4118881-4125733
chr9;4823547;4827033;+;2;72,176;0,3310;2;RCL1;NM_005772;chr9:4793227-4823547|chr9:4827033-4833153
chr9;6849506;6893232;+;4;194,50,104,138;0,30505,38453,43588;2;KDM4C;NM_001146696;chr9:6814745-6849506|chr9:6893232-6980924
chr9;74484998;74489999;-;2;180,470;0,4531;2;ABHD17B;NM_016014;chr9:74481922-74484998|chr9:74489999-74525549
chr9;74489529;74489999;-;1;470;0;2;ABHD17B;NM_016014;chr9:74485178-74489529|chr9:74489999-74525549
chr9;78682870;78686814;+;2;89,173;0,3771;2;PCSK5;uc004ajy.2;chr9:78641953-78682870|chr9:78686814-78710805
chr9;78682870;78711018;+;3;89,173,213;0,3771,27935;2;PCSK5;uc004ajy.2;chr9:78641953-78682870|chr9:78711018-78722166
chr9;84267098;84268951;-;2;105,63;0,1790;2;TLE1;uc004alz.3;chr9:84249216-84267098|chr9:84268951-84300590
chr9;86297865;86301070;-;2;116,152;0,3053;2;UBQLN1;NM_013438;chr9:86294952-86297865|chr9:86301070-86322414
chr9;88284399;88327481;-;7;94,132,147,64,68,125,65;0,3065,7951,8850,11783,23204,43017;2;AGTPBP1;NM_015239;chr9:88275888-88284399|chr9:88327481-88356689
chr9;88920106;88924932;-;4;48,178,78,90;0,3237,4020,4736;2;ZCCHC6;uc010mqe.3;chr9:88919862-88920106|chr9:88924932-88925620
chr9;97041039;97055351;+;3;88,127,96;0,13583,14216;2;ZNF169;NM_194320;chr9:97021627-97041039|chr9:97055351-97062096
chr9;97717458;97718297;+;2;103,108;0,731;2;C9orf3;NM_032823;chr9:97563284-97717458|chr9:97718297-97730039
chrUn_gl000220;121604;123082;+;3;97,1001,92;0,224,1386;2;LOC100507412;NR_038958;chrUn_gl000220:100554-121604|chrUn_gl000220:123082-124777
chrX;10031484;10066619;+;7;110,204,77,80,130,150,74;0,3842,15354,16280,27326,30687,35061;2;WWC3;NM_015691;chrX:9983898-10031484|chrX:10066619-10077817
chrX;10534927;10535643;-;1;716;0;2;MID1;NM_001193277;chrX:10491227-10534927|chrX:10535643-10544823
chrX;106331665;106332069;-;1;404;0;2;RBM41;NM_001171080;chrX:106312632-106331665|chrX:106332069-106358581
chrX;107083899;107097934;+;2;716,96;0,13939;2;MID2;NM_012216;chrX:107069660-107083899|chrX:107097934-107147187
chrX;128692816;128692978;+;1;162;0;2;OCRL;NM_000276;chrX:128692730-128692816|chrX:128692978-128694526
chrX;133607388;133632714;+;7;107,184,66,18,83,47,77;0,1822,13106,16829,20149,25031,25249;2;HPRT1;NM_000194;chrX:133594368-133607388|chrX:133632714-133634059
chrX;2326785;2343345;-;2;69,108;0,16452;2;DHRSX;NM_145177;chrX:2209644-2326785|chrX:2343345-2418857
chrX;23874418;23892574;-;4;81,92,96,55;0,2340,12291,18101;2;APOO;NM_024122;chrX:23858494-23874418|chrX:23892574-23897031
chrX;24763534;24861794;+;11;125,150,123,33,93,206,133,132,175,179,132;0,2893,3452,64480,65290,67240,69561,76034,81009,96234,98128;2;POLA1;NM_016937;chrX:24761446-24763534|chrX:24861794-24906122
chrX;24763534;24906239;+;12;125,150,123,33,93,206,133,132,175,179,132,117;0,2893,3452,64480,65290,67240,69561,76034,81009,96234,98128,142588;2;POLA1;NM_016937;chrX:24761446-24763534|chrX:24906239-24948569
chrX;24828014;24844718;+;6;33,93,206,133,132,175;0,810,2760,5081,11554,16529;2;POLA1;NM_016937;chrX:24767109-24828014|chrX:24844718-24859768
chrX;8553307;8556019;-;2;130,185;0,2527;2;KAL1;NM_000216;chrX:8538745-8553307|chrX:8556019-8565074
chrX;8553307;8565297;-;3;130,185,223;0,2527,11767;2;KAL1;NM_000216;chrX:8538745-8553307|chrX:8565297-8591648
chrY;2276785;2293345;-;2;69,108;0,16452;2;DHRSX;NM_145177;chrY:2159644-2276785|chrY:2293345-2368857
chr1;100515464;100535241;+;7;96,63,128,115,219,114,72;0,8757,9969,11926,18068,18564,19705;1;HIAT1;NM_033055;chr1:100503872-100515464|chr1:100535241-100542720
chr1;101372407;101387397;+;6;114,88,127,144,51,136;0,4211,5260,6811,11225,14854;1;SLC30A7;NM_001144884;chr1:101362227-101372407|chr1:101387397-101427383
chr1;101376618;101387397;+;5;88,127,144,51,136;0,1049,2600,7014,10643;1;SLC30A7;NM_001144884;chr1:101372521-101376618|chr1:101387397-101427383
chr1;10186851;10190871;+;4;84,57,117,99;0,2598,3706,3921;1;UBE4B;NM_001105562;chr1:10182134-10186851|chr1:10190871-10192426
chr1;10190557;10190871;+;2;117,99;0,215;1;UBE4B;NM_001105562;chr1:10189506-10190557|chr1:10190871-10192426
chr1;10463127;10464336;+;2;66,119;0,1090;1;PGD;NM_002631;chr1:10460629-10463127|chr1:10464336-10468127
chr1;109444411;109461411;+;5;156,109,130,71,177;0,1336,2335,12548,16823;1;GPSM2;NM_013296;chr1:109441616-109444411|chr1:109461411-109465038
chr1;109482257;109486679;-;5;147,98,94,141,222;0,409,1769,3839,4200;1;CLCC1;NM_001048210;chr1:109480040-109482257|chr1:109486679-109490232
chr1;109524354;109554340;-;9;132,165,170,158,76,258,179,124,803;0,876,1549,4790,9521,13847,20491,22859,29183;1;WDR47;uc010ovf.2;chr1:109517376-109524354|chr1:109554340-109556462
chr1;11181302;11182183;-;2;123,148;0,733;1;MTOR;uc001asc.3;chr1:11177143-11181302|chr1:11182183-11184554
chr1;113124613;113140708;-;5;115,98,155,79,116;0,383,1980,9533,15979;1;ST7L;uc001ecc.3;chr1:113121039-113124613|chr1:113140708-113153462
chr1;113633939;113659058;+;15;66,75,135,144,144,144,144,81,72,69,164,321,282,450,150;0,1888,2112,3021,3294,4556,4904,7387,8893,9102,16276,18924,21161,23109,24969;1;LRIG2;NM_014813;chr1:113616267-113633939|chr1:113659058-113661854
chr1;113655100;113662145;+;4;282,450,150,291;0,1948,3808,6754;1;LRIG2;NM_014813;chr1:113653184-113655100|chr1:113662145-113666496
chr1;114267380;114269196;-;2;135,157;0,1659;1;PHTF1;NM_006608;chr1:114256060-114267380|chr1:114269196-114280731
chr1;114319831;114320430;-;2;143,138;0,461;1;RSBN1;NM_018364;chr1:114311011-114319831|chr1:114320430-114339984
chr1;114497272;114511270;+;10;120,87,185,163,226,122,135,143,183,207;0,912,1976,2473,3415,7666,8736,11479,13115,13791;1;HIPK1;NM_152696;chr1:114495511-114497272|chr1:114511270-114512577
chr1;114680116;114682502;-;2;559,266;0,2120;1;SYT6;NM_205848;chr1:114646343-114680116|chr1:114682502-114694839
chr1;115267841;115280693;-;11;113,176,108,165,141,213,126,129,82,98,110;0,990,1762,5037,5287,7383,8511,8768,9221,11537,12742;1;CSDE1;uc001efj.3;chr1:115266623-115267841|chr1:115280693-115282312
chr1;115276352;115280693;-;5;126,129,82,98,110;0,257,710,3026,4231;1;CSDE1;uc001efj.3;chr1:115275437-115276352|chr1:115280693-115282312
chr1;118430319;118461358;-;7;77,157,160,77,89,154,140;0,9135,11359,18808,24296,24832,30899;1;GDAP2;NM_017686;chr1:118429275-118430319|chr1:118461358-118462804
chr1;118449127;118461358;-;4;77,89,154,140;0,5488,6024,12091;1;GDAP2;NM_017686;chr1:118441838-118449127|chr1:118461358-118462804
chr1;12065767;12069783;+;4;221,156,197,135;0,827,1342,3881;1;MFN2;NM_001127660;chr1:12064984-12065767|chr1:12069783-12071552
chr1;12359258;12368698;+;3;183,223,211;0,5304,9229;1;VPS13D;NM_015378;chr1:12353761-12359258|chr1:12368698-12371510
chr1;14057494;14068652;+;3;118,104,153;0,1779,11005;1;PRDM2;NM_001135610;chr1:14042109-14057494|chr1:14068652-14075855
chr1;145594038;145595220;-;3;150,50,102;0,906,1080;1;POLR3C;uc001eog.3;chr1:145592771-145594038|chr1:145595220-145596903
chr1;145787771;145791170;-;3;93,89,110;0,995,3289;1;GPR89A;uc010ozb.1;chr1:145771730-145787771|chr1:145791170-145803307
chr1;146724277;146731572;+;4;113,115,32,82;0,3190,3907,7213;1;CHD1L;NM_001256336;chr1:146714480-146724277|chr1:146731572-146736080
chr1;147408740;147442191;+;9;60,104,107,102,121,81,110,89,93;0,2087,6811,7370,16836,17813,30045,32366,33358;1;GPR89B;uc010ozs.1;chr1:147400691-147408740|chr1:147442191-147458430
chr1;150202905;150204264;-;2;123,150;0,1209;1;ANP32E;NM_001136479;chr1:150201570-150202905|chr1:150204264-150206926
chr1;150902442;150915529;+;5;152,35,100,126,202;0,9973,11362,12596,12885;1;SETDB1;NM_001243491;chr1:150900450-150902442|chr1:150915529-150916395
chr1;151026706;151028469;-;3;91,111,317;0,785,1446;1;CDC42SE1;NM_001038707;chr1:151025803-151026706|chr1:151028469-151029126
chr1;151110186;151112566;-;7;89,120,91,102,57,64,115;0,275,605,919,1714,1927,2265;1;SEMA6C;NM_001178061;chr1:151109550-151110186|chr1:151112566-151114979
chr1;151340674;151342245;-;3;121,113,57;0,1243,1514;1;SELENBP1;NM_001258288;chr1:151339380-151340674|chr1:151342245-151345113
chr1;151395872;151414681;-;9;155,338,107,192,291,109,176,159,125;0,552,1558,4426,4726,6206,7269,17531,18684;1;POGZ;NM_001194937;chr1:151384872-151395872|chr1:151414681-151431627
chr1;153723570;153730239;+;4;145,130,98,192;0,1184,3547,6477;1;INTS3;uc009wom.3;chr1:153721231-153723570|chr1:153730239-153732001
chr1;153907235;153910339;-;5;205,129,207,127,140;0,1300,1782,2728,2964;1;DENND4B;NM_014856;chr1:153906778-153907235|chr1:153910339-153911375
chr1;153925046;153926082;-;4;80,30,104,69;0,234,695,967;1;CRTC2;uc001fde.4;chr1:153924922-153925046|chr1:153926082-153926730
chr1;154199757;154201201;+;2;78,111;0,1333;1;UBAP2L;NM_001127320;chr1:154197689-154199757|chr1:154201201-154207066
chr1;154213988;154218851;+;3;53,86,172;0,1704,4691;1;UBAP2L;NM_001127320;chr1:154209612-154213988|chr1:154218851-154221714
chr1;154232423;154239044;+;4;82,218,106,68;0,944,1644,6553;1;UBAP2L;NM_014847;chr1:154231506-154232423|chr1:154239044-154241232
chr1;155644800;155649303;-;3;87,199,104;0,1538,4399;1;YY1AP1;NM_001198903;chr1:155642522-155644800|chr1:155649303-155650206
chr1;155679563;155699157;+;8;52,123,102,109,93,131,81,159;0,7233,11744,15609,16154,17835,19269,19435;1;DAP3;NM_001199849;chr1:155678916-155679563|chr1:155699157-155701146
chr1;155747412;155753880;-;2;199,104;0,6364;1;GON4L;NM_001282858;chr1:155746272-155747412|chr1:155753880-155755124
chr1;155790396;155796819;-;4;51,75,191,192;0,868,1680,6231;1;GON4L;NM_001282858;chr1:155786053-155790396|chr1:155796819-155823066
chr1;155891165;155891709;-;2;254,58;0,486;1;KIAA0907;NM_014949;chr1:155887463-155891165|chr1:155891709-155893417
chr1;15890423;15890854;+;2;183,77;0,354;1;DNAJC16;uc001awr.1;chr1:15888820-15890423|chr1:15890854-15892413
chr1;1599765;1608285;-;4;146,128,136,469;0,7136,7737,8051;1;SLC35E2B;uc009vkl.2;chr1:1591572-1599765|chr1:1608285-1622414
chr1;160188113;160231148;-;12;117,120,131,108,58,73,111,95,141,674,75,74;0,525,4327,6118,6738,7267,12973,18811,20283,21373,25636,42961;1;DCAF8;uc001fvo.2;chr1:160187498-160188113|chr1:160231148-160232065
chr1;160201086;160210160;-;4;111,95,141,674;0,5838,7310,8400;1;DCAF8;uc001fvo.2;chr1:160195453-160201086|chr1:160210160-160213749
chr1;160201086;160213824;-;5;111,95,141,674,75;0,5838,7310,8400,12663;1;DCAF8;uc001fvo.2;chr1:160195453-160201086|chr1:160213824-160231074
chr1;16093870;16101291;+;4;188,103,170,179;0,1152,3033,7242;1;FBLIM1;uc001axd.1;chr1:16091728-16093870|chr1:16101291-16103664
chr1;161088575;161090022;+;5;96,255,104,134,126;0,348,723,1033,1321;1;NIT1;NM_005600;chr1:161087968-161088575|chr1:161090022-161090288
chr1;161816238;161833102;+;5;132,114,100,71,115;0,5273,6775,13758,16749;1;ATF6;NM_007348;chr1:161790951-161816238|chr1:161833102-161882085
chr1;16464347;16464925;-;2;333,156;0,422;1;EPHA2;NM_004431;chr1:16462265-16464347|chr1:16464925-16474872
chr1;16528276;16529069;-;2;80,159;0,634;1;ARHGEF19;NM_153213;chr1:16525749-16528276|chr1:16529069-16531253
chr1;167741511;167742605;+;2;214,133;0,961;1;MPZL1;NM_003953;chr1:167734986-167741511|chr1:167742605-167745300
chr1;167741511;167745403;+;3;214,133,103;0,961,3789;1;MPZL1;NM_003953;chr1:167734986-167741511|chr1:167745403-167757056
chr1;167935866;167944253;+;2;93,186;0,8201;1;DCAF6;NM_001017977;chr1:167921099-167935866|chr1:167944253-167956732
chr1;16817112;16817421;-;2;166,62;0,247;1;CROCCP3;NR_023386;chr1:16813156-16817112|chr1:16817421-16817504
chr1;171483674;171491398;+;4;110,126,224,83;0,1198,3055,7641;1;PRRC2C;uc001ghr.1;chr1:171482311-171483674|chr1:171491398-171492359
chr1;173834366;173834685;-;2;54,77;0,242;1;GAS5;NR_002578;chr1:173833842-173834366|chr1:173834685-173834994
chr1;175996707;176015460;-;4;117,82,109,144;0,15614,16138,18609;1;RFWD2;uc009wwv.2;chr1:175958615-175996707|chr1:176015460-176050287
chr1;17742975;17747324;-;2;167,115;0,4234;1;RCC2;NM_001136204;chr1:17740213-17742975|chr1:17747324-17748698
chr1;178745816;178754742;+;3;140,105,51;0,7736,8875;1;RALGPS2;uc001gly.1;chr1:178694554-178745816|chr1:178754742-178777179
chr1;179033061;179033631;+;2;172,192;0,378;1;FAM20B;NM_014864;chr1:179023773-179033061|chr1:179033631-179035934
chr1;179089324;179091002;-;2;85,273;0,1405;1;ABL2;NM_001136000;chr1:179087899-179089324|chr1:179091002-179095511
chr1;180010272;180022301;+;6;111,141,137,123,170,197;0,524,1918,2913,7398,11832;1;CEP350;NM_014810;chr1:180006224-180010272|chr1:180022301-180022884
chr1;180366650;180382606;-;2;90,106;0,15850;1;ACBD6;NM_032360;chr1:180283857-180366650|chr1:180382606-180399314
chr1;180366650;180399397;-;3;90,106,83;0,15850,32664;1;ACBD6;NM_032360;chr1:180283857-180366650|chr1:180399397-180461403
chr1;180953812;180974599;-;6;95,107,126,63,95,170;0,3562,5307,8686,17929,20617;1;STX6;NM_005819;chr1:180945782-180953812|chr1:180974599-180991774
chr1;185183638;185200840;+;3;149,188,132;0,7342,17070;1;SWT1;NM_001105518;chr1:185175895-185183638|chr1:185200840-185240454
chr1;185269568;185276271;-;6;122,225,130,108,141,126;0,535,997,5099,6048,6577;1;IVNS1ABP;uc009wyj.3;chr1:185269475-185269568|chr1:185276271-185276620
chr1;186321107;186324690;-;3;135,163,149;0,1712,3434;1;TPR;NM_003292;chr1:186320602-186321107|chr1:186324690-186324766
chr1;19518681;19519034;-;2;191,60;0,293;1;UBR4;NM_020765;chr1:19514034-19518681|chr1:19519034-19519926
chr1;196249989;196285156;-;5;129,84,102,112,135;0,1413,4797,24374,35032;1;KCNT2;uc009wyt.1;chr1:196227624-196249989|chr1:196285156-196286303
