Chromosome,Start,End,Strand,H9_JReads,FB_JReads,geneName,H9_RPKM,FB_RPKM,log2FoldChange_mRNA,log2FoldChange_circ,Total_Sites_Per_circ,Effective_sites,quartile
chr10,111883774,111890244,+,1,3,ADD3,47.59,23.85,-0.9966691882676182,1.584962500721156,7,14,++ sites
chr10,112349362,112352981,+,1,2,SMC3,74.47,75.84,0.026299606685965034,1,12,18,++ sites
chr10,112645010,112650428,+,1,2,PDCD4,8.2,33.54,2.0321868740589006,1,8,12,++ sites
chr10,112723882,112745523,+,7,36,SHOC2,13.29,20.77,0.6441601115684732,2.3625700793847084,6,129,+++ sites
chr10,115639332,115663495,+,1,2,NHLRC2,5.97,11.97,1.0036203156786971,1,7,10.5,+ sites
chr10,115657868,115662352,+,1,2,NHLRC2,5.97,11.97,1.0036203156786971,1,1,1.5,- sites
chr10,116590610,116596005,+,1,2,FAM160B1,6.81,10.28,0.5941135611818069,1,1,1.5,- sites
chr10,116590610,116608496,+,2,3,FAM160B1,6.81,10.28,0.5941135611818069,0.5849625007211562,33,82.5,+++ sites
chr10,116730126,116734144,+,1,3,TRUB1,15.16,12.07,-0.32884407741607014,1.584962500721156,1,2,- sites
chr10,116879948,116889297,+,6,116,ATRNL1,1.85,9.52,2.3634363027916314,4.273018494406416,3,183,+++ sites
chr10,116879948,116919975,+,1,3,ATRNL1,1.85,9.52,2.3634363027916314,1.584962500721156,3,6,+ sites
chr10,116879948,116925405,+,3,23,ATRNL1,1.85,9.52,2.3634363027916314,2.9385994553358565,3,39,+++ sites
chr10,116879948,116931050,+,5,91,ATRNL1,1.85,9.52,2.3634363027916314,4.185866545311334,3,144,+++ sites
chr10,116879948,116975638,+,3,10,ATRNL1,1.85,9.52,2.3634363027916314,1.7369655941662063,3,19.5,++ sites
chr10,116879948,117001514,+,2,5,ATRNL1,1.85,9.52,2.3634363027916314,1.3219280948873624,3,10.5,+ sites
chr10,116879948,117027921,+,2,4,ATRNL1,1.85,9.52,2.3634363027916314,1,3,9,+ sites
chr10,116879948,117045907,+,1,5,ATRNL1,1.85,9.52,2.3634363027916314,2.321928094887362,3,9,+ sites
chr10,116879948,117075246,+,1,15,ATRNL1,1.85,9.52,2.3634363027916314,3.9068905956085187,3,24,++ sites
chr10,116879948,117093929,+,2,25,ATRNL1,1.85,9.52,2.3634363027916314,3.643856189774725,3,40.5,+++ sites
chr10,116879948,117154262,+,1,14,ATRNL1,1.85,9.52,2.3634363027916314,3.807354922057604,3,22.5,++ sites
chr10,116879948,117185812,+,2,26,ATRNL1,1.85,9.52,2.3634363027916314,3.700439718141092,3,42,+++ sites
chr10,116879948,117228839,+,1,28,ATRNL1,1.85,9.52,2.3634363027916314,4.807354922057604,3,43.5,+++ sites
chr10,116879948,117278834,+,1,5,ATRNL1,1.85,9.52,2.3634363027916314,2.321928094887362,3,9,+ sites
chr10,116879948,117309046,+,1,9,ATRNL1,1.85,9.52,2.3634363027916314,3.169925001442312,3,15,++ sites
chr10,116879948,117486865,+,1,6,ATRNL1,1.85,9.52,2.3634363027916314,2.584962500721156,3,10.5,+ sites
chr10,116879948,117607502,+,1,2,ATRNL1,1.85,9.52,2.3634363027916314,1,3,4.5,- sites
chr10,120446109,120454742,-,1,2,C10orf46,0,0,0,1,7,10.5,+ sites
chr10,120460817,120489922,-,1,4,C10orf46,0,0,0,2,12,30,+++ sites
chr10,120467003,120489922,-,1,2,C10orf46,0,0,0,1,6,9,+ sites
chr10,120488806,120489922,-,4,4,C10orf46,0,0,0,0,6,24,++ sites
chr10,120824910,120829166,-,1,2,EIF3A,105.72,51.68,-1.0325703549476448,1,7,10.5,+ sites
chr10,120824910,120833449,-,1,2,EIF3A,105.72,51.68,-1.0325703549476448,1,19,28.5,+++ sites
chr10,121338237,121347760,-,1,3,TIAL1,27.4,35.25,0.36344736432562924,1.584962500721156,5,10,+ sites
chr10,122618154,122619794,+,1,2,WDR11,24.55,18.43,-0.41366695357134237,1,3,4.5,- sites
chr10,126097110,126100769,-,1,4,OAT,70.5,30.92,-1.189082938248671,2,6,15,++ sites
chr10,126631025,126631876,+,10,21,ZRANB1,14.94,21.39,0.5177563343758071,1.070389327891398,7,108.5,+++ sites
chr10,126662213,126662967,+,2,3,ZRANB1,14.94,21.39,0.5177563343758071,0.5849625007211562,12,30,+++ sites
chr10,126727565,126799662,-,8,8,CTBP2,24.37,18.85,-0.370541727567314,0,153,1224,+++ sites
chr10,126727565,126822181,-,2,2,CTBP2,24.37,18.85,-0.370541727567314,0,242,484,+++ sites
chr10,127409772,127414011,+,1,2,C10orf137,12.37,9.75,-0.3433713763393966,1,8,12,++ sites
chr10,127413886,127442414,+,1,2,C10orf137,12.37,9.75,-0.3433713763393966,1,2,3,- sites
chr10,128768965,128788867,+,1,2,DOCK1,13.03,11.19,-0.21962704759174054,1,3,4.5,- sites
chr10,128768965,128798571,+,3,5,DOCK1,13.03,11.19,-0.21962704759174054,0.7369655941662062,8,32,+++ sites
chr10,128768965,128824688,+,1,2,DOCK1,13.03,11.19,-0.21962704759174054,1,8,12,++ sites
chr10,128795011,128810638,+,1,2,DOCK1,13.03,11.19,-0.21962704759174054,1,5,7.5,+ sites
chr10,128806995,128830584,+,1,2,DOCK1,13.03,11.19,-0.21962704759174054,1,1,1.5,- sites
chr10,131943474,131967754,+,1,2,GLRX3,95.79,36.83,-1.378993656391512,1,4,6,+ sites
chr10,131964770,131969900,+,1,2,GLRX3,95.79,36.83,-1.378993656391512,1,2,3,- sites
chr11,2972488,2999572,-,1,2,"NAP1L4",63.02,57.63,-0.12898973463085636,1,9,13.5,++ sites
chr11,2997253,3000467,-,3,3,"NAP1L4",63.02,57.63,-0.12898973463085636,0,5,15,++ sites
chr11,3704429,3707424,-,1,2,NUP98,24.54,13.55,-0.856842397421671,1,2,3,- sites
chr11,3723692,3727857,-,1,2,NUP98,24.54,13.55,-0.856842397421671,1,1,1.5,- sites
chr11,3744386,3774638,-,1,2,NUP98,24.54,13.55,-0.856842397421671,1,10,15,++ sites
chr11,3752620,3774638,-,1,4,NUP98,24.54,13.55,-0.856842397421671,2,3,7.5,+ sites
chr11,3756420,3774638,-,1,2,NUP98,24.54,13.55,-0.856842397421671,1,3,4.5,- sites
chr11,3784131,3797251,-,1,3,NUP98,24.54,13.55,-0.856842397421671,1.584962500721156,4,8,+ sites
chr11,3789810,3797251,-,1,4,NUP98,24.54,13.55,-0.856842397421671,2,2,5,+ sites
chr11,4127275,4143450,+,1,2,RRM1,63,69.24,0.1362538960919975,1,1,1.5,- sites
chr11,4153515,4154888,+,1,2,RRM1,63,69.24,0.1362538960919975,1,1,1.5,- sites
chr11,6621715,6622832,-,1,2,RRP8,2.85,3.21,0.17161137807019905,1,13,19.5,++ sites
chr11,6630742,6631076,+,1,2,ILK,20.72,13.96,-0.5697250614769015,1,4,6,+ sites
chr11,8735544,8739439,-,1,2,ST5,2.71,2.28,-0.24925902718913,1,6,9,+ sites
chr11,9199678,9229179,-,1,2,DENND5A,19.12,22.48,0.23355951224017743,1,11,16.5,++ sites
chr11,9215040,9229179,-,1,6,DENND5A,19.12,22.48,0.23355951224017743,2.584962500721156,11,38.5,+++ sites
chr11,9225206,9229179,-,6,10,DENND5A,19.12,22.48,0.23355951224017743,0.7369655941662062,11,88,+++ sites
chr11,9304917,9321248,-,1,2,TMEM41B,13.59,10.84,-0.3261806994135197,1,2,3,- sites
chr11,9441957,9446809,+,3,4,IPO7,109.87,61.41,-0.8392520040282738,0.41503749927884376,11,38.5,+++ sites
chr11,9451220,9452550,+,4,4,IPO7,109.87,61.41,-0.8392520040282738,0,1,4,- sites
chr11,9451220,9457913,+,1,2,IPO7,109.87,61.41,-0.8392520040282738,1,5,7.5,+ sites
chr11,9456480,9463744,+,1,2,IPO7,109.87,61.41,-0.8392520040282738,1,12,18,++ sites
chr11,9597434,9603225,+,1,2,WEE1,55.25,21.71,-1.3476147385510118,1,13,19.5,++ sites
chr11,10824757,10825597,-,1,2,EIF4G2,427.3,404.85,-0.07786183949310373,1,2,3,- sites
chr11,12901254,12904672,+,1,2,TEAD1,20.35,18.31,-0.15239700335627243,1,2,3,- sites
chr11,13435076,13443385,-,1,4,BTBD10,19.72,22.63,0.19857703288898096,2,2,5,+ sites
chr11,13435076,13466728,-,1,8,BTBD10,19.72,22.63,0.19857703288898096,3,3,13.5,++ sites
chr11,13438704,13443385,-,1,2,BTBD10,19.72,22.63,0.19857703288898096,1,2,3,- sites
chr11,16834659,16838869,-,1,2,PLEKHA7,1.1,4.38,1.9934273460765137,1,1,1.5,- sites
chr11,17118603,17151014,-,1,2,PIK3C2A,33.9,17.94,-0.9181053831044448,1,8,12,++ sites
chr11,17122824,17167489,-,1,2,PIK3C2A,33.9,17.94,-0.9181053831044448,1,12,18,++ sites
chr11,17124208,17136012,-,1,2,PIK3C2A,33.9,17.94,-0.9181053831044448,1,1,1.5,- sites
chr11,17124208,17191353,-,1,2,PIK3C2A,33.9,17.94,-0.9181053831044448,1,22,33,+++ sites
chr11,17140191,17167489,-,1,2,PIK3C2A,33.9,17.94,-0.9181053831044448,1,10,15,++ sites
chr11,17153462,17167489,-,1,4,PIK3C2A,33.9,17.94,-0.9181053831044448,2,5,12.5,++ sites
chr11,17156365,17167489,-,1,2,PIK3C2A,33.9,17.94,-0.9181053831044448,1,5,7.5,+ sites
chr11,17190223,17191353,-,1,4,PIK3C2A,33.9,17.94,-0.9181053831044448,2,6,15,++ sites
chr11,18105081,18111057,-,1,3,SAAL1,35.19,16.36,-1.104992765807916,1.584962500721156,11,22,++ sites
chr11,18524032,18541150,-,1,4,TSG101,36.89,29.02,-0.34618226962807425,2,4,10,+ sites
chr11,18536224,18537711,-,1,4,TSG101,36.89,29.02,-0.34618226962807425,2,1,2.5,- sites
chr11,20417348,20448411,+,1,2,PRMT3,19.91,9.54,-1.0614320497149912,1,11,16.5,++ sites
chr11,20424464,20486092,+,2,3,PRMT3,19.91,9.54,-1.0614320497149912,0.5849625007211562,9,22.5,++ sites
chr11,27393161,27414065,-,1,2,LGR4,36.09,16.64,-1.1169437097561405,1,7,10.5,+ sites
chr11,27523348,27523467,-,1,2,LIN7C,7.22,11.27,0.6424167732850502,1,1,1.5,- sites
chr11,28080472,28113060,-,1,2,KIF18A,14.36,11.9,-0.2710941756277454,1,7,10.5,+ sites
chr11,32118689,32120074,+,1,3,RCN1,134.32,112.85,-0.2512677168578318,1.584962500721156,10,20,++ sites
chr11,32610139,32611187,+,2,3,EIF3M,258.67,102.51,-1.3353480894014222,0.5849625007211562,1,2.5,- sites
chr11,32611092,32617593,+,4,3,EIF3M,258.67,102.51,-1.3353480894014222,-0.4150374992788438,1,3.5,- sites
chr11,32948702,32949669,+,2,2,QSER1,31.79,20.87,-0.6071424159781408,0,7,14,++ sites
chr11,32948702,32956981,+,17,42,QSER1,31.79,20.87,-0.6071424159781408,1.304854581528421,65,1917.5,+++ sites
chr11,32948702,32979632,+,1,4,QSER1,31.79,20.87,-0.6071424159781408,2,80,200,+++ sites
chr11,32953288,32995095,+,1,2,QSER1,31.79,20.87,-0.6071424159781408,1,73,109.5,+++ sites
chr11,32975402,32979632,+,1,2,QSER1,31.79,20.87,-0.6071424159781408,1,15,22.5,++ sites
chr11,33113816,33127610,-,1,3,CSTF3,32.72,26.6,-0.2987465025531967,1.584962500721156,28,56,+++ sites
chr11,33120235,33124730,-,1,2,CSTF3,32.72,26.6,-0.2987465025531967,1,19,28.5,+++ sites
chr11,33120235,33127610,-,1,2,CSTF3,32.72,26.6,-0.2987465025531967,1,28,42,+++ sites
chr11,33127112,33127610,-,1,8,CSTF3,32.72,26.6,-0.2987465025531967,3,9,40.5,+++ sites
chr11,33307958,33309057,+,59,210,HIPK3,6.5,9.3,0.516790998079577,1.8316024683042813,11,1479.5,+++ sites
chr11,33360302,33363232,+,2,3,HIPK3,6.5,9.3,0.516790998079577,0.5849625007211562,2,5,+ sites
chr11,33368838,33370833,+,1,3,HIPK3,6.5,9.3,0.516790998079577,1.584962500721156,25,50,+++ sites
chr11,34093272,34098189,+,2,18,CAPRIN1,89.77,75.62,-0.24746554572615154,3.169925001442312,7,70,+++ sites
chr11,34097782,34098189,+,1,3,CAPRIN1,89.77,75.62,-0.24746554572615154,1.584962500721156,5,10,+ sites
chr11,34101174,34107960,+,1,5,CAPRIN1,89.77,75.62,-0.24746554572615154,2.321928094887362,3,9,+ sites
chr11,34101174,34111003,+,1,5,CAPRIN1,89.77,75.62,-0.24746554572615154,2.321928094887362,4,12,++ sites
chr11,34107610,34113603,+,1,2,CAPRIN1,89.77,75.62,-0.24746554572615154,1,3,4.5,- sites
chr11,34110941,34113603,+,1,5,CAPRIN1,89.77,75.62,-0.24746554572615154,2.321928094887362,3,9,+ sites
chr11,34111725,34113603,+,1,15,CAPRIN1,89.77,75.62,-0.24746554572615154,3.9068905956085187,2,16,++ sites
chr11,34952950,35006275,+,2,3,PDHX,20.65,13.81,-0.5804284620487568,0.5849625007211562,15,37.5,+++ sites
chr11,34978930,34999729,+,5,15,PDHX,20.65,13.81,-0.5804284620487568,1.584962500721156,7,70,+++ sites
chr11,34978930,35013926,+,1,4,PDHX,20.65,13.81,-0.5804284620487568,2,14,35,+++ sites
chr11,35747471,35747711,+,1,3,TRIM44,22.36,35.44,0.6644584157118282,1.584962500721156,4,8,+ sites
chr11,43348056,43357544,+,3,4,API5,86.9,51.27,-0.76124127930446706,0.41503749927884376,5,17.5,++ sites
chr11,43425547,43429127,+,1,2,TTC17,19.69,25.26,0.35939152788599865,1,7,10.5,+ sites
chr11,43436139,43457884,+,1,2,TTC17,19.69,25.26,0.35939152788599865,1,24,36,+++ sites
chr11,43772460,43819977,+,1,2,HSD17B12,67.94,27.56,-1.3016853301749096,1,1,1.5,- sites
chr11,45883610,45893784,+,1,5,CRY2,1.9,3.02,0.6685491309941312,2.321928094887362,1,3,- sites
chr11,45883610,45893784,+,1,5,hsa_circ_000536,1.9,3.02,0.6685491309941312,2.321928094887362,1,3,- sites
chr11,46439462,46465148,-,1,2,AMBRA1,2.25,3.8,0.7560744171139108,1,3,4.5,- sites
chr11,46455023,46456587,-,1,3,AMBRA1,2.25,3.8,0.7560744171139108,1.584962500721156,3,6,+ sites
chr11,46465037,46570050,-,1,2,AMBRA1,2.25,3.8,0.7560744171139108,1,10,15,++ sites
chr11,46567153,46570050,-,1,2,AMBRA1,2.25,3.8,0.7560744171139108,1,3,4.5,- sites
chr11,46665828,46671867,+,1,2,ATG13,8.8,6.5,-0.43706380560884295,1,4,6,+ sites
chr11,46771823,46773084,-,1,2,CKAP5,70.53,82.19,0.2207258331725831,1,10,15,++ sites
chr11,46771823,46775047,-,1,2,CKAP5,70.53,82.19,0.2207258331725831,1,12,18,++ sites
chr11,46780472,46785180,-,1,2,CKAP5,70.53,82.19,0.2207258331725831,1,14,21,++ sites
chr11,46786680,46806223,-,1,2,CKAP5,70.53,82.19,0.2207258331725831,1,11,16.5,++ sites
chr11,46804823,46810323,-,1,4,CKAP5,70.53,82.19,0.2207258331725831,2,2,5,+ sites
chr11,46804823,46812133,-,1,2,CKAP5,70.53,82.19,0.2207258331725831,1,2,3,- sites
chr11,46810230,46842819,-,1,2,CKAP5,70.53,82.19,0.2207258331725831,1,28,42,+++ sites
chr11,46837748,46837955,-,1,2,CKAP5,70.53,82.19,0.2207258331725831,1,1,1.5,- sites
chr11,47444124,47444524,-,1,4,PSMC3,23.72,22.86,-0.05327860633152548,2,7,17.5,++ sites
chr11,47504246,47510576,-,3,2,CELF1,24.84,26.25,0.07965224922036596,-0.5849625007211563,10,25,++ sites
chr11,47505004,47506075,-,3,6,CELF1,24.84,26.25,0.07965224922036596,1,5,22.5,++ sites
chr11,47505940,47510576,-,2,2,CELF1,24.84,26.25,0.07965224922036596,0,7,14,++ sites
chr11,47508301,47510576,-,1,2,CELF1,24.84,26.25,0.07965224922036596,1,3,4.5,- sites
chr11,47644252,47647293,-,1,2,MTCH2,38.8,40.37,0.05722693440602011,1,3,4.5,- sites
chr11,47644252,47648679,-,1,4,MTCH2,38.8,40.37,0.05722693440602011,2,3,7.5,+ sites
chr11,47647225,47648679,-,3,3,MTCH2,38.8,40.37,0.05722693440602011,0,1,3,- sites
chr11,47647225,47656286,-,1,2,MTCH2,38.8,40.37,0.05722693440602011,1,20,30,+++ sites
chr11,47752925,47772842,-,1,3,FNBP4,21.79,27.96,0.35969816425952955,1.584962500721156,8,16,++ sites
chr11,47753668,47772842,-,1,2,FNBP4,21.79,27.96,0.35969816425952955,1,8,12,++ sites
chr11,47767607,47772842,-,1,2,FNBP4,21.79,27.96,0.35969816425952955,1,3,4.5,- sites
chr11,47774467,47776216,-,2,7,FNBP4,21.79,27.96,0.35969816425952955,1.8073549220576042,2,9,+ sites
chr11,47809733,47810163,-,1,2,NUP160,46.05,24.09,-0.9347667627402272,1,5,7.5,+ sites
chr11,47809733,47823482,-,1,2,NUP160,46.05,24.09,-0.9347667627402272,1,18,27,+++ sites
chr11,47809733,47828692,-,1,2,NUP160,46.05,24.09,-0.9347667627402272,1,23,34.5,+++ sites
chr11,47819330,47823482,-,1,3,NUP160,46.05,24.09,-0.9347667627402272,1.584962500721156,8,16,++ sites
chr11,47823362,47825088,-,1,2,NUP160,46.05,24.09,-0.9347667627402272,1,3,4.5,- sites
chr11,47837030,47841010,-,1,2,NUP160,46.05,24.09,-0.9347667627402272,1,1,1.5,- sites
chr11,47857202,47859175,-,3,2,NUP160,46.05,24.09,-0.9347667627402272,-0.5849625007211563,1,2.5,- sites
chr11,57563048,57564464,+,1,3,CTNND1,60.77,40.58,-0.5825904267884008,1.584962500721156,7,14,++ sites
chr11,61093082,61099163,-,1,2,DDB1,53.34,50.99,-0.0650034869223668,1,8,12,++ sites
chr11,61094250,61097546,-,1,3,DDB1,53.34,50.99,-0.0650034869223668,1.584962500721156,4,8,+ sites
chr11,61096834,61097546,-,2,3,DDB1,53.34,50.99,-0.0650034869223668,0.5849625007211562,4,10,+ sites
chr11,61131723,61133688,+,2,3,TMEM138,6.08,5.69,-0.09564267113700348,0.5849625007211562,5,12.5,++ sites
chr11,61133516,61135470,+,4,26,TMEM138,6.08,5.69,-0.09564267113700348,2.700439718141092,3,45,+++ sites
chr11,61205096,61205585,+,6,13,SDHAF2,21.82,11.23,-0.9582931739230061,1.1154772174199359,2,19,++ sites
chr11,62406454,62407203,-,9,3,GANAB,76.33,44.33,-0.7839668288262218,-1.5849625007211563,4,24,++ sites
chr11,62569033,62569732,-,1,2,NXF1,5.62,12.43,1.1451842608315588,1,1,1.5,- sites
chr11,62652648,62653080,+,1,2,SLC3A2,37.42,15.39,-1.2818163269125737,1,7,10.5,+ sites
chr11,63517462,63517670,+,1,10,RTN3,56.5,109.54,0.9551350128386249,3.321928094887362,10,55,+++ sites
chr11,63519978,63521180,+,1,2,RTN3,56.5,109.54,0.9551350128386249,1,6,9,+ sites
chr11,66249666,66255478,+,1,2,DPP3,6.37,3.84,-0.7301870615351443,1,4,6,+ sites
chr11,66407170,66407594,+,1,4,RBM4,14.31,15.54,0.11896283168104213,2,6,15,++ sites
chr11,66436085,66436762,-,1,5,RBM4B,8.7,25.22,1.5354809695921292,2.321928094887362,10,30,+++ sites
chr11,66947549,66975159,+,1,2,KDM2A,8.5,7.76,-0.1314061888379364,1,4,6,+ sites
chr11,66974980,66999298,+,1,2,KDM2A,8.5,7.76,-0.1314061888379364,1,5,7.5,+ sites
chr11,67058946,67059651,+,1,2,ANKRD13D,0.12,0.66,2.4594316186372973,1,1,1.5,- sites
chr11,67942484,67953395,-,1,4,SUV420H1,14.18,23.05,0.7009092180771842,2,2,5,+ sites
chr11,67953247,67957619,-,1,3,SUV420H1,14.18,23.05,0.7009092180771842,1.584962500721156,2,4,- sites
chr11,68272612,68287119,+,3,5,PPP6R3,40.27,28.36,-0.5058479397062382,0.7369655941662062,3,12,++ sites
chr11,68272612,68305359,+,3,4,PPP6R3,40.27,28.36,-0.5058479397062382,0.41503749927884376,5,17.5,++ sites
chr11,68272612,68315672,+,1,2,PPP6R3,40.27,28.36,-0.5058479397062382,1,9,13.5,++ sites
chr11,68286968,68305359,+,2,5,PPP6R3,40.27,28.36,-0.5058479397062382,1.3219280948873624,4,14,++ sites
chr11,68305126,68326147,+,1,2,PPP6R3,40.27,28.36,-0.5058479397062382,1,16,24,++ sites
chr11,68318588,68331900,+,1,2,PPP6R3,40.27,28.36,-0.5058479397062382,1,12,18,++ sites
chr11,68334481,68363686,+,1,2,PPP6R3,40.27,28.36,-0.5058479397062382,1,13,19.5,++ sites
chr11,68337215,68370960,+,1,2,PPP6R3,40.27,28.36,-0.5058479397062382,1,15,22.5,++ sites
chr11,68359043,68367962,+,1,3,PPP6R3,40.27,28.36,-0.5058479397062382,1.584962500721156,2,4,- sites
chr11,68363564,68370960,+,1,4,PPP6R3,40.27,28.36,-0.5058479397062382,2,2,5,+ sites
chr11,68367808,68370960,+,1,2,PPP6R3,40.27,28.36,-0.5058479397062382,1,2,3,- sites
chr11,68369330,68370960,+,1,7,PPP6R3,40.27,28.36,-0.5058479397062382,2.807354922057604,2,8,+ sites
chr11,71671795,71693961,+,1,2,RNF121,4.68,5.5,0.23292308882861748,1,3,4.5,- sites
chr11,72468811,72470426,-,1,2,STARD10,0.77,1.32,0.7776075786635522,1,8,12,++ sites
chr11,73418464,73429763,-,4,13,RAB6A,43.14,51.56,0.257226087201197,1.7004397181410922,6,51,+++ sites
chr11,73418464,73429935,-,4,6,RAB6A,43.14,51.56,0.257226087201197,0.5849625007211562,6,30,+++ sites
chr11,73418464,73431944,-,3,30,RAB6A,43.14,51.56,0.257226087201197,3.321928094887362,6,99,+++ sites
chr11,73418464,73441868,-,3,2,RAB6A,43.14,51.56,0.257226087201197,-0.5849625007211563,6,15,++ sites
chr11,73427295,73429763,-,1,3,RAB6A,43.14,51.56,0.257226087201197,1.584962500721156,2,4,- sites
chr11,73795925,73820197,-,1,2,C2CD3,4.48,5.91,0.3996593981199281,1,6,9,+ sites
chr11,73834032,73844602,-,1,2,C2CD3,4.48,5.91,0.3996593981199281,1,1,1.5,- sites
chr11,76174864,76183884,+,1,10,C11orf30,7.31,11.15,0.6091003988552299,3.321928094887362,5,27.5,+++ sites
chr11,76224429,76239510,+,1,3,C11orf30,7.31,11.15,0.6091003988552299,1.584962500721156,1,2,- sites
chr11,77060283,77091039,-,1,2,PAK1,81.96,31.58,-1.3759088131510095,1,1,1.5,- sites
chr11,77330650,77336863,-,6,7,CLNS1A,125.84,73.75,-0.7708756213917584,0.22239242133644802,1,6.5,+ sites
chr11,77330650,77340944,-,1,7,CLNS1A,125.84,73.75,-0.7708756213917584,2.807354922057604,3,12,++ sites
chr11,77333544,77336863,-,1,2,CLNS1A,125.84,73.75,-0.7708756213917584,1,1,1.5,- sites
chr11,77336007,77340944,-,2,5,CLNS1A,125.84,73.75,-0.7708756213917584,1.3219280948873624,2,7,+ sites
chr11,77386080,77402283,-,1,2,RSF1,16.86,24.93,0.5642783465494184,1,1,1.5,- sites
chr11,77386080,77404656,-,1,4,RSF1,16.86,24.93,0.5642783465494184,2,1,2.5,- sites
chr11,77394754,77396204,-,1,2,RSF1,16.86,24.93,0.5642783465494184,1,1,1.5,- sites
chr11,77394754,77402283,-,1,2,RSF1,16.86,24.93,0.5642783465494184,1,1,1.5,- sites
chr11,77394754,77404656,-,2,13,RSF1,16.86,24.93,0.5642783465494184,2.700439718141092,1,7.5,+ sites
chr11,77666987,77672184,-,1,3,INTS4,9.72,9.08,-0.09826401631486598,1.584962500721156,2,4,- sites
chr11,77823695,77832220,-,2,7,ALG8,39.39,16.96,-1.215693247050844,1.8073549220576042,15,67.5,+++ sites
chr11,77824931,77832220,-,1,6,ALG8,39.39,16.96,-1.215693247050844,2.584962500721156,13,45.5,+++ sites
chr11,85685750,85695016,-,2,5,PICALM,50.75,50.11,-0.01830928453032328,1.3219280948873624,7,24.5,++ sites
chr11,85685750,85742653,-,1,7,PICALM,50.75,50.11,-0.01830928453032328,2.807354922057604,26,104,+++ sites
chr11,85685750,85742653,-,1,7,PRSS23,50.75,50.11,-0.01830928453032328,2.807354922057604,3,12,++ sites
chr11,85692171,85707972,-,1,2,PICALM,50.75,50.11,-0.01830928453032328,1,9,13.5,++ sites
chr11,85692787,85695016,-,1,5,PICALM,50.75,50.11,-0.01830928453032328,2.321928094887362,2,6,+ sites
chr11,85701292,85742653,-,1,5,PICALM,50.75,50.11,-0.01830928453032328,2.321928094887362,19,57,+++ sites
chr11,85701292,85742653,-,1,5,PRSS23,50.75,50.11,-0.01830928453032328,2.321928094887362,3,9,+ sites
chr11,85707868,85712201,-,2,3,PICALM,50.75,50.11,-0.01830928453032328,0.5849625007211562,4,10,+ sites
chr11,85707868,85714494,-,2,6,PICALM,50.75,50.11,-0.01830928453032328,1.584962500721156,5,20,++ sites
chr11,85707868,85742653,-,5,28,PICALM,50.75,50.11,-0.01830928453032328,2.4854268271702415,17,280.5,+++ sites
chr11,85707868,85742653,-,5,28,PRSS23,50.75,50.11,-0.01830928453032328,2.4854268271702415,3,49.5,+++ sites
chr11,85714408,85742653,-,1,2,PICALM,50.75,50.11,-0.01830928453032328,1,13,19.5,++ sites
chr11,85714408,85742653,-,1,2,PRSS23,50.75,50.11,-0.01830928453032328,1,3,4.5,- sites
chr11,85722072,85742653,-,1,22,PICALM,50.75,50.11,-0.01830928453032328,4.459431618637297,12,138,+++ sites
chr11,85723323,85742653,-,1,4,PICALM,50.75,50.11,-0.01830928453032328,2,12,30,+++ sites
chr11,85733409,85742653,-,1,4,PICALM,50.75,50.11,-0.01830928453032328,2,8,20,++ sites
chr11,85737333,85742653,-,2,5,PICALM,50.75,50.11,-0.01830928453032328,1.3219280948873624,8,28,+++ sites
chr11,85961337,85963282,+,1,2,PRSS23,13.12,15.66,0.255316492672957,1,8,12,++ sites
chr11,85961337,85967554,+,1,5,PRSS23,13.12,15.66,0.255316492672957,2.321928094887362,19,57,+++ sites
chr11,85961337,85968638,+,3,3,PRSS23,13.12,15.66,0.255316492672957,0,19,57,+++ sites
chr11,85961337,85977258,+,1,2,PRSS23,13.12,15.66,0.255316492672957,1,72,108,+++ sites
chr11,85975213,85979603,+,1,2,PRSS23,13.12,15.66,0.255316492672957,1,27,40.5,+++ sites
chr11,86017286,86017524,+,2,5,PRSS23,32.77,21.62,-0.6000091498081096,1.3219280948873624,1,3.5,- sites
chr11,93429485,93436085,+,1,2,KIAA1731,5.15,8.25,0.6798216870625974,1,20,30,+++ sites
chr11,93429847,93458997,+,1,2,KIAA1731,5.15,8.25,0.6798216870625974,1,20,30,+++ sites
chr11,93469306,93471665,-,1,2,TAF1D,55.35,21.69,-1.3515532639966406,1,9,13.5,++ sites
chr11,93523739,93535138,+,1,2,MED17,8.32,15.08,0.8579809951275721,1,1,1.5,- sites
chr11,94528176,94533477,+,4,8,AMOTL1,17.46,11.73,-0.5738505456009317,1,1,6,+ sites
chr11,94532555,94533477,+,4,5,AMOTL1,17.46,11.73,-0.5738505456009317,0.32192809488736235,1,4.5,- sites
chr11,94908661,94911992,-,1,3,SESN3,5.06,15.54,1.6187772137134,1.584962500721156,7,14,++ sites
chr11,94917583,94926686,-,1,2,SESN3,5.06,15.54,1.6187772137134,1,6,9,+ sites
chr11,103013996,103130706,+,1,2,DYNC2H1,6.16,7.15,0.21501289097085052,1,11,16.5,++ sites
chr11,103104762,103116103,+,1,2,DYNC2H1,6.16,7.15,0.21501289097085052,1,8,12,++ sites
chr11,103270390,103270600,+,1,2,DYNC2H1,6.16,7.15,0.21501289097085052,1,4,6,+ sites
chr11,107904527,107925682,+,1,2,CUL5,13.17,15.14,0.20110985972921733,1,7,10.5,+ sites
